NAME                   GPU_COUNT   GPU_TYPE
a30-6b6d9df84d-224k6   1           a30
a30-6b6d9df84d-248dc   1           a30
a30-6b6d9df84d-24z8p   1           a30
a30-6b6d9df84d-254z6   1           a30
a30-6b6d9df84d-26jqn   1           a30
a30-6b6d9df84d-26mpf   1           a30
a30-6b6d9df84d-274tn   1           a30
a30-6b6d9df84d-2bg85   1           a30
a30-6b6d9df84d-2cbjs   1           a30
a30-6b6d9df84d-2cvjl   1           a30
a30-6b6d9df84d-2cvzz   1           a30
a30-6b6d9df84d-2dn2m   1           a30
a30-6b6d9df84d-2dvqp   1           a30
a30-6b6d9df84d-2fd9g   1           a30
a30-6b6d9df84d-2ghbg   1           a30
a30-6b6d9df84d-2gsbm   1           a30
a30-6b6d9df84d-2jkcm   1           a30
a30-6b6d9df84d-2m5jg   1           a30
a30-6b6d9df84d-2m7pf   1           a30
a30-6b6d9df84d-2mg6z   1           a30
a30-6b6d9df84d-2n9k5   1           a30
a30-6b6d9df84d-2nt2l   1           a30
a30-6b6d9df84d-2nwtm   1           a30
a30-6b6d9df84d-2qnvv   1           a30
a30-6b6d9df84d-2qp6d   1           a30
a30-6b6d9df84d-2r79k   1           a30
a30-6b6d9df84d-2sj2f   1           a30
a30-6b6d9df84d-2sjpm   1           a30
a30-6b6d9df84d-2w6dc   1           a30
a30-6b6d9df84d-2wkqc   1           a30
a30-6b6d9df84d-2zc6q   1           a30
a30-6b6d9df84d-2zvxg   1           a30
a30-6b6d9df84d-42njl   1           a30
a30-6b6d9df84d-45h6j   1           a30
a30-6b6d9df84d-45xsm   1           a30
a30-6b6d9df84d-46v6d   1           a30
a30-6b6d9df84d-48cw4   1           a30
a30-6b6d9df84d-496dp   1           a30
a30-6b6d9df84d-496km   1           a30
a30-6b6d9df84d-4bc2f   1           a30
a30-6b6d9df84d-4c26g   1           a30
a30-6b6d9df84d-4c948   1           a30
a30-6b6d9df84d-4djgs   1           a30
a30-6b6d9df84d-4gjd9   1           a30
a30-6b6d9df84d-4h64j   1           a30
a30-6b6d9df84d-4hffd   1           a30
a30-6b6d9df84d-4hx88   1           a30
a30-6b6d9df84d-4kh5r   1           a30
a30-6b6d9df84d-4kp2j   1           a30
a30-6b6d9df84d-4npcr   1           a30
a30-6b6d9df84d-4p77t   1           a30
a30-6b6d9df84d-4qb9t   1           a30
a30-6b6d9df84d-4qlmd   1           a30
a30-6b6d9df84d-4t5rv   1           a30
a30-6b6d9df84d-4vsvs   1           a30
a30-6b6d9df84d-4vzcf   1           a30
a30-6b6d9df84d-4w4zs   1           a30
a30-6b6d9df84d-4wg2k   1           a30
a30-6b6d9df84d-4z5gc   1           a30
a30-6b6d9df84d-525pg   1           a30
a30-6b6d9df84d-528g2   1           a30
a30-6b6d9df84d-52d5s   1           a30
a30-6b6d9df84d-54jbm   1           a30
a30-6b6d9df84d-54tvp   1           a30
a30-6b6d9df84d-55bkx   1           a30
a30-6b6d9df84d-56c4c   1           a30
a30-6b6d9df84d-56gsk   1           a30
a30-6b6d9df84d-57k8z   1           a30
a30-6b6d9df84d-57s6l   1           a30
a30-6b6d9df84d-58nbc   1           a30
a30-6b6d9df84d-59j4w   1           a30
a30-6b6d9df84d-59qtg   1           a30
a30-6b6d9df84d-59wks   1           a30
a30-6b6d9df84d-5b6sb   1           a30
a30-6b6d9df84d-5cgkp   1           a30
a30-6b6d9df84d-5d7cd   1           a30
a30-6b6d9df84d-5f5zh   1           a30
a30-6b6d9df84d-5fgd9   1           a30
a30-6b6d9df84d-5g7nl   1           a30
a30-6b6d9df84d-5jqq7   1           a30
a30-6b6d9df84d-5jwz8   1           a30
a30-6b6d9df84d-5k5rz   1           a30
a30-6b6d9df84d-5kh6l   1           a30
a30-6b6d9df84d-5knlr   1           a30
a30-6b6d9df84d-5ls94   1           a30
