NAME                              GPU_COUNT   GPU_TYPE
crescentisland-7f9f69f698-225j9   1           crescentisland
crescentisland-7f9f69f698-22v9g   1           crescentisland
crescentisland-7f9f69f698-255k9   1           crescentisland
crescentisland-7f9f69f698-25glg   1           crescentisland
crescentisland-7f9f69f698-2bjtt   1           crescentisland
crescentisland-7f9f69f698-2bwgn   1           crescentisland
crescentisland-7f9f69f698-2bzvp   1           crescentisland
crescentisland-7f9f69f698-2csss   1           crescentisland
crescentisland-7f9f69f698-2d45s   1           crescentisland
crescentisland-7f9f69f698-2dwks   1           crescentisland
crescentisland-7f9f69f698-2ff7h   1           crescentisland
crescentisland-7f9f69f698-2fl48   1           crescentisland
crescentisland-7f9f69f698-2gz4x   1           crescentisland
crescentisland-7f9f69f698-2hcxx   1           crescentisland
crescentisland-7f9f69f698-2hh5p   1           crescentisland
crescentisland-7f9f69f698-2j5dj   1           crescentisland
crescentisland-7f9f69f698-2jdjz   1           crescentisland
crescentisland-7f9f69f698-2jtb4   1           crescentisland
crescentisland-7f9f69f698-2kxgv   1           crescentisland
crescentisland-7f9f69f698-2kz9z   1           crescentisland
crescentisland-7f9f69f698-2l94t   1           crescentisland
crescentisland-7f9f69f698-2lgvj   1           crescentisland
crescentisland-7f9f69f698-2mt57   1           crescentisland
crescentisland-7f9f69f698-2nnk6   1           crescentisland
crescentisland-7f9f69f698-2nxhc   1           crescentisland
crescentisland-7f9f69f698-2q4dh   1           crescentisland
crescentisland-7f9f69f698-2rgjn   1           crescentisland
crescentisland-7f9f69f698-2skrt   1           crescentisland
crescentisland-7f9f69f698-2svt6   1           crescentisland
crescentisland-7f9f69f698-2wnfx   1           crescentisland
crescentisland-7f9f69f698-2wnj9   1           crescentisland
crescentisland-7f9f69f698-2x6w6   1           crescentisland
crescentisland-7f9f69f698-2xfh9   1           crescentisland
crescentisland-7f9f69f698-2xqk2   1           crescentisland
crescentisland-7f9f69f698-2zqm8   1           crescentisland
crescentisland-7f9f69f698-42v52   1           crescentisland
crescentisland-7f9f69f698-446tg   1           crescentisland
crescentisland-7f9f69f698-449cm   1           crescentisland
crescentisland-7f9f69f698-44r97   1           crescentisland
crescentisland-7f9f69f698-45czs   1           crescentisland
crescentisland-7f9f69f698-45hlz   1           crescentisland
crescentisland-7f9f69f698-45km4   1           crescentisland
crescentisland-7f9f69f698-45vmh   1           crescentisland
crescentisland-7f9f69f698-45wnf   1           crescentisland
crescentisland-7f9f69f698-466sx   1           crescentisland
crescentisland-7f9f69f698-46b4x   1           crescentisland
crescentisland-7f9f69f698-49gqb   1           crescentisland
crescentisland-7f9f69f698-4cg7f   1           crescentisland
crescentisland-7f9f69f698-4cqn4   1           crescentisland
crescentisland-7f9f69f698-4d6mw   1           crescentisland
crescentisland-7f9f69f698-4f7r4   1           crescentisland
crescentisland-7f9f69f698-4fb5b   1           crescentisland
crescentisland-7f9f69f698-4fhxc   1           crescentisland
crescentisland-7f9f69f698-4gwcw   1           crescentisland
crescentisland-7f9f69f698-4h9w2   1           crescentisland
crescentisland-7f9f69f698-4hdbf   1           crescentisland
crescentisland-7f9f69f698-4hsrd   1           crescentisland
crescentisland-7f9f69f698-4j9wk   1           crescentisland
crescentisland-7f9f69f698-4jxzl   1           crescentisland
crescentisland-7f9f69f698-4k4f6   1           crescentisland
crescentisland-7f9f69f698-4kscn   1           crescentisland
crescentisland-7f9f69f698-4kxc7   1           crescentisland
crescentisland-7f9f69f698-4l66r   1           crescentisland
crescentisland-7f9f69f698-4lcj7   1           crescentisland
crescentisland-7f9f69f698-4mhwc   1           crescentisland
crescentisland-7f9f69f698-4n7bj   1           crescentisland
crescentisland-7f9f69f698-4njzd   1           crescentisland
crescentisland-7f9f69f698-4nzhf   1           crescentisland
crescentisland-7f9f69f698-4ph4t   1           crescentisland
crescentisland-7f9f69f698-4r7kx   1           crescentisland
crescentisland-7f9f69f698-4vr64   1           crescentisland
crescentisland-7f9f69f698-4xvzc   1           crescentisland
crescentisland-7f9f69f698-4zh2h   1           crescentisland
crescentisland-7f9f69f698-52bv2   1           crescentisland
crescentisland-7f9f69f698-544m4   1           crescentisland
crescentisland-7f9f69f698-54qwx   1           crescentisland
crescentisland-7f9f69f698-564c6   1           crescentisland
crescentisland-7f9f69f698-56krj   1           crescentisland
crescentisland-7f9f69f698-572q9   1           crescentisland
crescentisland-7f9f69f698-57hbp   1           crescentisland
crescentisland-7f9f69f698-58mqm   1           crescentisland
crescentisland-7f9f69f698-58vcp   1           crescentisland
crescentisland-7f9f69f698-5cg6h   1           crescentisland
crescentisland-7f9f69f698-5df4d   1           crescentisland
crescentisland-7f9f69f698-5dhrb   1           crescentisland
crescentisland-7f9f69f698-5djd8   1           crescentisland
crescentisland-7f9f69f698-5dnjs   1           crescentisland
crescentisland-7f9f69f698-5f4nr   1           crescentisland
crescentisland-7f9f69f698-5ffm5   1           crescentisland
crescentisland-7f9f69f698-5ffsj   1           crescentisland
crescentisland-7f9f69f698-5gl6q   1           crescentisland
crescentisland-7f9f69f698-5hb4x   1           crescentisland
crescentisland-7f9f69f698-5hh7b   1           crescentisland
crescentisland-7f9f69f698-5hns8   1           crescentisland
crescentisland-7f9f69f698-5hzhb   1           crescentisland
crescentisland-7f9f69f698-5jf2b   1           crescentisland
crescentisland-7f9f69f698-5k546   1           crescentisland
crescentisland-7f9f69f698-5l9bt   1           crescentisland
crescentisland-7f9f69f698-5lnx4   1           crescentisland
crescentisland-7f9f69f698-5lrl8   1           crescentisland
crescentisland-7f9f69f698-5lwv7   1           crescentisland
crescentisland-7f9f69f698-5m2dt   1           crescentisland
crescentisland-7f9f69f698-5m8gb   1           crescentisland
crescentisland-7f9f69f698-5n7tj   1           crescentisland
crescentisland-7f9f69f698-5pfqk   1           crescentisland
crescentisland-7f9f69f698-5phg4   1           crescentisland
crescentisland-7f9f69f698-5pqmq   1           crescentisland
crescentisland-7f9f69f698-5pw4p   1           crescentisland
crescentisland-7f9f69f698-5qjh5   1           crescentisland
crescentisland-7f9f69f698-5qzlq   1           crescentisland
crescentisland-7f9f69f698-5sslf   1           crescentisland
crescentisland-7f9f69f698-5v5mz   1           crescentisland
crescentisland-7f9f69f698-5v9wm   1           crescentisland
crescentisland-7f9f69f698-5vb85   1           crescentisland
crescentisland-7f9f69f698-5vbcw   1           crescentisland
crescentisland-7f9f69f698-5vncr   1           crescentisland
crescentisland-7f9f69f698-5vvgg   1           crescentisland
crescentisland-7f9f69f698-5w8bz   1           crescentisland
crescentisland-7f9f69f698-5wk6f   1           crescentisland
crescentisland-7f9f69f698-5x5zw   1           crescentisland
crescentisland-7f9f69f698-5x677   1           crescentisland
crescentisland-7f9f69f698-642p4   1           crescentisland
crescentisland-7f9f69f698-64899   1           crescentisland
crescentisland-7f9f69f698-64kcw   1           crescentisland
crescentisland-7f9f69f698-66rsg   1           crescentisland
crescentisland-7f9f69f698-677mh   1           crescentisland
crescentisland-7f9f69f698-67kl5   1           crescentisland
crescentisland-7f9f69f698-69nxf   1           crescentisland
crescentisland-7f9f69f698-6c7dx   1           crescentisland
crescentisland-7f9f69f698-6cwjl   1           crescentisland
crescentisland-7f9f69f698-6d8jb   1           crescentisland
crescentisland-7f9f69f698-6fgps   1           crescentisland
crescentisland-7f9f69f698-6fvsq   1           crescentisland
crescentisland-7f9f69f698-6fvtc   1           crescentisland
crescentisland-7f9f69f698-6g6s5   1           crescentisland
crescentisland-7f9f69f698-6g96p   1           crescentisland
crescentisland-7f9f69f698-6hkfw   1           crescentisland
