NAME                           GPU_COUNT   GPU_TYPE
falconshores-7587869b4-22n8v   1           falconshores
falconshores-7587869b4-24kfc   1           falconshores
falconshores-7587869b4-24qnm   1           falconshores
falconshores-7587869b4-25896   1           falconshores
falconshores-7587869b4-25f7r   1           falconshores
falconshores-7587869b4-25s5l   1           falconshores
falconshores-7587869b4-266cd   1           falconshores
falconshores-7587869b4-26cbd   1           falconshores
falconshores-7587869b4-274zz   1           falconshores
falconshores-7587869b4-27v4v   1           falconshores
falconshores-7587869b4-299tr   1           falconshores
falconshores-7587869b4-299wj   1           falconshores
falconshores-7587869b4-2b5jf   1           falconshores
falconshores-7587869b4-2ctrg   1           falconshores
falconshores-7587869b4-2d5mb   1           falconshores
falconshores-7587869b4-2dnpj   1           falconshores
falconshores-7587869b4-2drmh   1           falconshores
falconshores-7587869b4-2fgzq   1           falconshores
falconshores-7587869b4-2fjcn   1           falconshores
falconshores-7587869b4-2gqn9   1           falconshores
falconshores-7587869b4-2jgm7   1           falconshores
falconshores-7587869b4-2jgpt   1           falconshores
falconshores-7587869b4-2jmb6   1           falconshores
falconshores-7587869b4-2k4bh   1           falconshores
falconshores-7587869b4-2kfh2   1           falconshores
falconshores-7587869b4-2kxph   1           falconshores
falconshores-7587869b4-2q7rk   1           falconshores
falconshores-7587869b4-2qbp2   1           falconshores
falconshores-7587869b4-2qfrq   1           falconshores
falconshores-7587869b4-2qhrz   1           falconshores
falconshores-7587869b4-2sjtp   1           falconshores
falconshores-7587869b4-2t7tb   1           falconshores
falconshores-7587869b4-2v24f   1           falconshores
falconshores-7587869b4-2vvwh   1           falconshores
falconshores-7587869b4-2w65p   1           falconshores
falconshores-7587869b4-2w8np   1           falconshores
falconshores-7587869b4-2xffs   1           falconshores
falconshores-7587869b4-2zq6w   1           falconshores
falconshores-7587869b4-2zttm   1           falconshores
falconshores-7587869b4-4266j   1           falconshores
falconshores-7587869b4-42bfh   1           falconshores
falconshores-7587869b4-46ktr   1           falconshores
falconshores-7587869b4-478xw   1           falconshores
falconshores-7587869b4-48kck   1           falconshores
falconshores-7587869b4-48nkr   1           falconshores
falconshores-7587869b4-499xq   1           falconshores
falconshores-7587869b4-4c2dk   1           falconshores
falconshores-7587869b4-4g722   1           falconshores
falconshores-7587869b4-4j4p5   1           falconshores
falconshores-7587869b4-4j5gv   1           falconshores
falconshores-7587869b4-4j97q   1           falconshores
falconshores-7587869b4-4kmnv   1           falconshores
falconshores-7587869b4-4ktbw   1           falconshores
falconshores-7587869b4-4m994   1           falconshores
falconshores-7587869b4-4mmkl   1           falconshores
falconshores-7587869b4-4mn88   1           falconshores
falconshores-7587869b4-4mvzb   1           falconshores
falconshores-7587869b4-4mx4w   1           falconshores
falconshores-7587869b4-4p89w   1           falconshores
falconshores-7587869b4-4p9l4   1           falconshores
falconshores-7587869b4-4qnqz   1           falconshores
falconshores-7587869b4-4rmgp   1           falconshores
falconshores-7587869b4-4rsx4   1           falconshores
falconshores-7587869b4-4sqbm   1           falconshores
falconshores-7587869b4-4t4hr   1           falconshores
falconshores-7587869b4-4t8vs   1           falconshores
falconshores-7587869b4-4vft4   1           falconshores
falconshores-7587869b4-4vm6s   1           falconshores
falconshores-7587869b4-4wmtg   1           falconshores
falconshores-7587869b4-4wngp   1           falconshores
falconshores-7587869b4-4wrd9   1           falconshores
falconshores-7587869b4-4wrpd   1           falconshores
falconshores-7587869b4-4wvr2   1           falconshores
falconshores-7587869b4-4zb4s   1           falconshores
falconshores-7587869b4-4zptp   1           falconshores
falconshores-7587869b4-5244q   1           falconshores
falconshores-7587869b4-52w28   1           falconshores
falconshores-7587869b4-54hsp   1           falconshores
falconshores-7587869b4-556tq   1           falconshores
falconshores-7587869b4-56hb9   1           falconshores
falconshores-7587869b4-576wf   1           falconshores
falconshores-7587869b4-57bt7   1           falconshores
falconshores-7587869b4-582ph   1           falconshores
falconshores-7587869b4-587j4   1           falconshores
falconshores-7587869b4-58n99   1           falconshores
falconshores-7587869b4-58nq7   1           falconshores
falconshores-7587869b4-58p4x   1           falconshores
falconshores-7587869b4-58wqx   1           falconshores
falconshores-7587869b4-59zg8   1           falconshores
falconshores-7587869b4-5bfpg   1           falconshores
falconshores-7587869b4-5c5ph   1           falconshores
falconshores-7587869b4-5c9cf   1           falconshores
falconshores-7587869b4-5d5qp   1           falconshores
falconshores-7587869b4-5d88l   1           falconshores
falconshores-7587869b4-5dr6t   1           falconshores
falconshores-7587869b4-5fr8l   1           falconshores
falconshores-7587869b4-5jng5   1           falconshores
falconshores-7587869b4-5jw62   1           falconshores
falconshores-7587869b4-5l9kp   1           falconshores
falconshores-7587869b4-5lvqp   1           falconshores
falconshores-7587869b4-5mflb   1           falconshores
falconshores-7587869b4-5mjzj   1           falconshores
falconshores-7587869b4-5n84r   1           falconshores
falconshores-7587869b4-5pl9k   1           falconshores
falconshores-7587869b4-5q67d   1           falconshores
falconshores-7587869b4-5rfft   1           falconshores
falconshores-7587869b4-5rfhv   1           falconshores
falconshores-7587869b4-5sjg2   1           falconshores
falconshores-7587869b4-5sspn   1           falconshores
falconshores-7587869b4-5tnhj   1           falconshores
falconshores-7587869b4-5tpf9   1           falconshores
falconshores-7587869b4-5wrmz   1           falconshores
falconshores-7587869b4-5wtww   1           falconshores
