NAME                     GPU_COUNT   GPU_TYPE
gb200-5894586668-22cpk   1           gb200
gb200-5894586668-22g6v   1           gb200
gb200-5894586668-22ht8   1           gb200
gb200-5894586668-24822   1           gb200
gb200-5894586668-24x8h   1           gb200
gb200-5894586668-25v5l   1           gb200
gb200-5894586668-288b9   1           gb200
gb200-5894586668-28b7m   1           gb200
gb200-5894586668-28rcp   1           gb200
gb200-5894586668-28v88   1           gb200
gb200-5894586668-28vhr   1           gb200
gb200-5894586668-295xr   1           gb200
gb200-5894586668-29j7r   1           gb200
gb200-5894586668-2c84h   1           gb200
gb200-5894586668-2dl45   1           gb200
gb200-5894586668-2gdzb   1           gb200
gb200-5894586668-2jdv8   1           gb200
gb200-5894586668-2jkgr   1           gb200
gb200-5894586668-2jm56   1           gb200
gb200-5894586668-2kpcp   1           gb200
gb200-5894586668-2ktnf   1           gb200
gb200-5894586668-2mjvr   1           gb200
gb200-5894586668-2mxsh   1           gb200
gb200-5894586668-2nzll   1           gb200
gb200-5894586668-2p5gd   1           gb200
gb200-5894586668-2pvql   1           gb200
gb200-5894586668-2qkd2   1           gb200
gb200-5894586668-2qsd7   1           gb200
gb200-5894586668-2rmbb   1           gb200
gb200-5894586668-2sz84   1           gb200
gb200-5894586668-2t9r2   1           gb200
gb200-5894586668-2thxx   1           gb200
gb200-5894586668-2w58l   1           gb200
gb200-5894586668-2xjnk   1           gb200
gb200-5894586668-2z58g   1           gb200
gb200-5894586668-2zqwc   1           gb200
gb200-5894586668-2zwn8   1           gb200
gb200-5894586668-428mv   1           gb200
gb200-5894586668-442gh   1           gb200
gb200-5894586668-4469v   1           gb200
gb200-5894586668-45gdd   1           gb200
gb200-5894586668-46kb5   1           gb200
gb200-5894586668-46nm9   1           gb200
gb200-5894586668-47csk   1           gb200
gb200-5894586668-47klt   1           gb200
gb200-5894586668-47lm7   1           gb200
gb200-5894586668-47m22   1           gb200
gb200-5894586668-47pfx   1           gb200
gb200-5894586668-4b42t   1           gb200
gb200-5894586668-4c2lc   1           gb200
gb200-5894586668-4cbqk   1           gb200
gb200-5894586668-4cfmw   1           gb200
gb200-5894586668-4d52c   1           gb200
gb200-5894586668-4k52m   1           gb200
gb200-5894586668-4knzk   1           gb200
gb200-5894586668-4mltf   1           gb200
gb200-5894586668-4mm2k   1           gb200
gb200-5894586668-4n8qv   1           gb200
gb200-5894586668-4q2mq   1           gb200
gb200-5894586668-4r5jz   1           gb200
gb200-5894586668-4s425   1           gb200
gb200-5894586668-4twhc   1           gb200
gb200-5894586668-4vb47   1           gb200
gb200-5894586668-4w7vb   1           gb200
gb200-5894586668-4w9vf   1           gb200
gb200-5894586668-4xfrp   1           gb200
gb200-5894586668-4zb64   1           gb200
gb200-5894586668-52cws   1           gb200
gb200-5894586668-54mrf   1           gb200
gb200-5894586668-5555k   1           gb200
gb200-5894586668-56fh6   1           gb200
gb200-5894586668-58gx6   1           gb200
gb200-5894586668-58l88   1           gb200
gb200-5894586668-58z8b   1           gb200
gb200-5894586668-598j8   1           gb200
gb200-5894586668-59m5d   1           gb200
gb200-5894586668-59wdd   1           gb200
gb200-5894586668-5bcp2   1           gb200
gb200-5894586668-5cttf   1           gb200
gb200-5894586668-5drrf   1           gb200
gb200-5894586668-5g9zh   1           gb200
gb200-5894586668-5jsjq   1           gb200
gb200-5894586668-5k4c6   1           gb200
gb200-5894586668-5ks88   1           gb200
gb200-5894586668-5n67q   1           gb200
gb200-5894586668-5nsmq   1           gb200
gb200-5894586668-5p2pd   1           gb200
gb200-5894586668-5pcd8   1           gb200
gb200-5894586668-5qtns   1           gb200
gb200-5894586668-5qxxc   1           gb200
gb200-5894586668-5rft5   1           gb200
gb200-5894586668-5sjcd   1           gb200
gb200-5894586668-5tmb7   1           gb200
gb200-5894586668-5vl98   1           gb200
gb200-5894586668-5w8db   1           gb200
gb200-5894586668-5xk4c   1           gb200
gb200-5894586668-5xmbt   1           gb200
gb200-5894586668-5xwhh   1           gb200
gb200-5894586668-5zgv7   1           gb200
gb200-5894586668-62ccn   1           gb200
gb200-5894586668-62f9t   1           gb200
gb200-5894586668-62spw   1           gb200
gb200-5894586668-646lr   1           gb200
gb200-5894586668-64fsj   1           gb200
