NAME                  GPU_COUNT   GPU_TYPE
l4-69ddf84dbb-24r6j   1           l4
l4-69ddf84dbb-26vr4   1           l4
l4-69ddf84dbb-274w8   1           l4
l4-69ddf84dbb-27gg2   1           l4
l4-69ddf84dbb-27lrg   1           l4
l4-69ddf84dbb-27ms8   1           l4
l4-69ddf84dbb-2854w   1           l4
l4-69ddf84dbb-288cf   1           l4
l4-69ddf84dbb-28pmq   1           l4
l4-69ddf84dbb-28qzn   1           l4
l4-69ddf84dbb-29f2t   1           l4
l4-69ddf84dbb-29j7t   1           l4
l4-69ddf84dbb-29sfx   1           l4
l4-69ddf84dbb-2b8bz   1           l4
l4-69ddf84dbb-2bl8p   1           l4
l4-69ddf84dbb-2c8l5   1           l4
l4-69ddf84dbb-2ddrg   1           l4
l4-69ddf84dbb-2g22w   1           l4
l4-69ddf84dbb-2gkzr   1           l4
l4-69ddf84dbb-2gl2l   1           l4
l4-69ddf84dbb-2gmv7   1           l4
l4-69ddf84dbb-2gv5x   1           l4
l4-69ddf84dbb-2h28r   1           l4
l4-69ddf84dbb-2jpcl   1           l4
l4-69ddf84dbb-2jpzp   1           l4
l4-69ddf84dbb-2jxrv   1           l4
l4-69ddf84dbb-2k8vk   1           l4
l4-69ddf84dbb-2mc4r   1           l4
l4-69ddf84dbb-2mlmv   1           l4
l4-69ddf84dbb-2n547   1           l4
l4-69ddf84dbb-2nf4h   1           l4
l4-69ddf84dbb-2nl7d   1           l4
l4-69ddf84dbb-2nxkk   1           l4
l4-69ddf84dbb-2p4db   1           l4
l4-69ddf84dbb-2p8j9   1           l4
l4-69ddf84dbb-2pc44   1           l4
l4-69ddf84dbb-2qg4q   1           l4
l4-69ddf84dbb-2qs8c   1           l4
l4-69ddf84dbb-2rt6d   1           l4
l4-69ddf84dbb-2rtzq   1           l4
l4-69ddf84dbb-2shxr   1           l4
l4-69ddf84dbb-2sw47   1           l4
l4-69ddf84dbb-2tjrp   1           l4
l4-69ddf84dbb-2tvrn   1           l4
l4-69ddf84dbb-2vv4x   1           l4
l4-69ddf84dbb-2wrc8   1           l4
l4-69ddf84dbb-2x9pc   1           l4
l4-69ddf84dbb-2xdbj   1           l4
l4-69ddf84dbb-2xkk9   1           l4
l4-69ddf84dbb-2z75m   1           l4
l4-69ddf84dbb-2zldx   1           l4
l4-69ddf84dbb-42cnl   1           l4
l4-69ddf84dbb-44r5m   1           l4
l4-69ddf84dbb-47tfr   1           l4
l4-69ddf84dbb-48ddc   1           l4
l4-69ddf84dbb-48msw   1           l4
l4-69ddf84dbb-48qrq   1           l4
l4-69ddf84dbb-492ft   1           l4
l4-69ddf84dbb-49ctj   1           l4
l4-69ddf84dbb-4cspt   1           l4
l4-69ddf84dbb-4dxn4   1           l4
l4-69ddf84dbb-4g924   1           l4
l4-69ddf84dbb-4j4fw   1           l4
l4-69ddf84dbb-4jjp9   1           l4
l4-69ddf84dbb-4kbw8   1           l4
l4-69ddf84dbb-4kh4n   1           l4
l4-69ddf84dbb-4khf8   1           l4
l4-69ddf84dbb-4khpq   1           l4
l4-69ddf84dbb-4kj5n   1           l4
l4-69ddf84dbb-4lhvg   1           l4
l4-69ddf84dbb-4ng2v   1           l4
l4-69ddf84dbb-4nz8d   1           l4
l4-69ddf84dbb-4pds4   1           l4
l4-69ddf84dbb-4pk7x   1           l4
l4-69ddf84dbb-4qdww   1           l4
l4-69ddf84dbb-4qhwp   1           l4
l4-69ddf84dbb-4qtqf   1           l4
l4-69ddf84dbb-4s9hx   1           l4
l4-69ddf84dbb-4t8fm   1           l4
l4-69ddf84dbb-4v4wl   1           l4
l4-69ddf84dbb-4v6nq   1           l4
l4-69ddf84dbb-4vdq8   1           l4
l4-69ddf84dbb-4wrmb   1           l4
l4-69ddf84dbb-4x4sb   1           l4
l4-69ddf84dbb-4x88j   1           l4
l4-69ddf84dbb-4xm75   1           l4
l4-69ddf84dbb-4zlpb   1           l4
l4-69ddf84dbb-52s85   1           l4
l4-69ddf84dbb-5497d   1           l4
l4-69ddf84dbb-549vg   1           l4
l4-69ddf84dbb-54b8k   1           l4
l4-69ddf84dbb-54hxh   1           l4
l4-69ddf84dbb-54tg9   1           l4
l4-69ddf84dbb-565cx   1           l4
l4-69ddf84dbb-56hd2   1           l4
l4-69ddf84dbb-56rh8   1           l4
l4-69ddf84dbb-56s8t   1           l4
l4-69ddf84dbb-58hkl   1           l4
l4-69ddf84dbb-58nrb   1           l4
l4-69ddf84dbb-58smp   1           l4
l4-69ddf84dbb-59rwh   1           l4
l4-69ddf84dbb-5cjj8   1           l4
l4-69ddf84dbb-5d6dx   1           l4
l4-69ddf84dbb-5dsxf   1           l4
l4-69ddf84dbb-5g6qm   1           l4
l4-69ddf84dbb-5hb7c   1           l4
l4-69ddf84dbb-5k4z5   1           l4
l4-69ddf84dbb-5kcb4   1           l4
l4-69ddf84dbb-5ksvx   1           l4
l4-69ddf84dbb-5kxc4   1           l4
l4-69ddf84dbb-5lmgm   1           l4
l4-69ddf84dbb-5lsc6   1           l4
l4-69ddf84dbb-5m2rg   1           l4
l4-69ddf84dbb-5m79t   1           l4
l4-69ddf84dbb-5mcnn   1           l4
l4-69ddf84dbb-5mk2j   1           l4
l4-69ddf84dbb-5n65q   1           l4
l4-69ddf84dbb-5nq5g   1           l4
l4-69ddf84dbb-5nqzq   1           l4
l4-69ddf84dbb-5nwmh   1           l4
l4-69ddf84dbb-5rn8p   1           l4
l4-69ddf84dbb-5s22n   1           l4
l4-69ddf84dbb-5t27b   1           l4
l4-69ddf84dbb-5thxq   1           l4
l4-69ddf84dbb-5v29k   1           l4
l4-69ddf84dbb-5vrzm   1           l4
l4-69ddf84dbb-5xthp   1           l4
l4-69ddf84dbb-5xxt7   1           l4
l4-69ddf84dbb-5zhkr   1           l4
l4-69ddf84dbb-65bsm   1           l4
l4-69ddf84dbb-65k86   1           l4
l4-69ddf84dbb-65p6f   1           l4
l4-69ddf84dbb-66bkn   1           l4
l4-69ddf84dbb-697q7   1           l4
l4-69ddf84dbb-6bwv8   1           l4
l4-69ddf84dbb-6clmb   1           l4
l4-69ddf84dbb-6cq8v   1           l4
l4-69ddf84dbb-6dxr4   1           l4
l4-69ddf84dbb-6g2ks   1           l4
l4-69ddf84dbb-6gdcp   1           l4
l4-69ddf84dbb-6gfck   1           l4
l4-69ddf84dbb-6jpwt   1           l4
l4-69ddf84dbb-6kmjq   1           l4
l4-69ddf84dbb-6lp9z   1           l4
l4-69ddf84dbb-6m2st   1           l4
l4-69ddf84dbb-6mvf9   1           l4
l4-69ddf84dbb-6nxzp   1           l4
l4-69ddf84dbb-6qf95   1           l4
l4-69ddf84dbb-6sj2t   1           l4
l4-69ddf84dbb-6sldj   1           l4
l4-69ddf84dbb-6t2r5   1           l4
l4-69ddf84dbb-6td2g   1           l4
l4-69ddf84dbb-6tgs4   1           l4
l4-69ddf84dbb-6tv8c   1           l4
l4-69ddf84dbb-6z62x   1           l4
l4-69ddf84dbb-6zkv6   1           l4
l4-69ddf84dbb-6zmrj   1           l4
l4-69ddf84dbb-6zqf6   1           l4
l4-69ddf84dbb-6zsn7   1           l4
l4-69ddf84dbb-72lcj   1           l4
l4-69ddf84dbb-749vh   1           l4
l4-69ddf84dbb-74glf   1           l4
l4-69ddf84dbb-74wl6   1           l4
l4-69ddf84dbb-76vv2   1           l4
l4-69ddf84dbb-776r6   1           l4
l4-69ddf84dbb-77nqr   1           l4
l4-69ddf84dbb-77xbq   1           l4
l4-69ddf84dbb-78cl9   1           l4
