NAME                       GPU_COUNT   GPU_TYPE
max1550-675d844bcf-22nj7   1           max1550
max1550-675d844bcf-242dq   1           max1550
max1550-675d844bcf-245bg   1           max1550
max1550-675d844bcf-24llr   1           max1550
max1550-675d844bcf-24mm9   1           max1550
max1550-675d844bcf-26c2g   1           max1550
max1550-675d844bcf-26dv4   1           max1550
max1550-675d844bcf-274vj   1           max1550
max1550-675d844bcf-27btx   1           max1550
max1550-675d844bcf-27cmj   1           max1550
max1550-675d844bcf-28pxb   1           max1550
max1550-675d844bcf-29wgv   1           max1550
max1550-675d844bcf-2b95f   1           max1550
max1550-675d844bcf-2ctxk   1           max1550
max1550-675d844bcf-2dhs8   1           max1550
max1550-675d844bcf-2fft4   1           max1550
max1550-675d844bcf-2gw95   1           max1550
max1550-675d844bcf-2hfrf   1           max1550
max1550-675d844bcf-2hw49   1           max1550
max1550-675d844bcf-2j5bh   1           max1550
max1550-675d844bcf-2kjmz   1           max1550
max1550-675d844bcf-2knpk   1           max1550
max1550-675d844bcf-2lgqd   1           max1550
max1550-675d844bcf-2m5hk   1           max1550
max1550-675d844bcf-2mn2v   1           max1550
max1550-675d844bcf-2mwk2   1           max1550
max1550-675d844bcf-2ncr8   1           max1550
max1550-675d844bcf-2nq4s   1           max1550
max1550-675d844bcf-2ntqz   1           max1550
max1550-675d844bcf-2p6qm   1           max1550
max1550-675d844bcf-2qqkl   1           max1550
max1550-675d844bcf-2st2f   1           max1550
max1550-675d844bcf-2tgwm   1           max1550
max1550-675d844bcf-2vqs7   1           max1550
max1550-675d844bcf-2wzj2   1           max1550
max1550-675d844bcf-2z2pd   1           max1550
max1550-675d844bcf-2z484   1           max1550
max1550-675d844bcf-449pq   1           max1550
max1550-675d844bcf-44c4q   1           max1550
max1550-675d844bcf-44ck7   1           max1550
max1550-675d844bcf-44q9l   1           max1550
max1550-675d844bcf-45dqn   1           max1550
max1550-675d844bcf-46x5c   1           max1550
max1550-675d844bcf-47nqh   1           max1550
max1550-675d844bcf-47rch   1           max1550
max1550-675d844bcf-486g9   1           max1550
max1550-675d844bcf-48cvm   1           max1550
max1550-675d844bcf-48kq9   1           max1550
max1550-675d844bcf-49rjz   1           max1550
max1550-675d844bcf-4bdnf   1           max1550
max1550-675d844bcf-4bgtx   1           max1550
max1550-675d844bcf-4bnw5   1           max1550
max1550-675d844bcf-4c29t   1           max1550
max1550-675d844bcf-4d7ns   1           max1550
max1550-675d844bcf-4gsfh   1           max1550
max1550-675d844bcf-4h7lg   1           max1550
max1550-675d844bcf-4j6np   1           max1550
max1550-675d844bcf-4jhj6   1           max1550
max1550-675d844bcf-4jj68   1           max1550
max1550-675d844bcf-4jtdc   1           max1550
max1550-675d844bcf-4kgmk   1           max1550
max1550-675d844bcf-4ktcr   1           max1550
max1550-675d844bcf-4lqf8   1           max1550
max1550-675d844bcf-4lqnt   1           max1550
max1550-675d844bcf-4mlws   1           max1550
max1550-675d844bcf-4msbc   1           max1550
max1550-675d844bcf-4nhhc   1           max1550
max1550-675d844bcf-4q7nz   1           max1550
max1550-675d844bcf-4qjlg   1           max1550
max1550-675d844bcf-4r25v   1           max1550
max1550-675d844bcf-4rql8   1           max1550
max1550-675d844bcf-4sd8g   1           max1550
max1550-675d844bcf-4shrr   1           max1550
max1550-675d844bcf-4svh6   1           max1550
max1550-675d844bcf-4tbk4   1           max1550
max1550-675d844bcf-4th5j   1           max1550
max1550-675d844bcf-4wf29   1           max1550
max1550-675d844bcf-4x7fz   1           max1550
max1550-675d844bcf-4xczz   1           max1550
max1550-675d844bcf-4xx67   1           max1550
max1550-675d844bcf-4zsn5   1           max1550
max1550-675d844bcf-52j2d   1           max1550
max1550-675d844bcf-54562   1           max1550
max1550-675d844bcf-54h85   1           max1550
max1550-675d844bcf-564l7   1           max1550
max1550-675d844bcf-56nqj   1           max1550
max1550-675d844bcf-57k75   1           max1550
max1550-675d844bcf-57nvw   1           max1550
max1550-675d844bcf-589r6   1           max1550
max1550-675d844bcf-58mkt   1           max1550
max1550-675d844bcf-594kd   1           max1550
max1550-675d844bcf-5b6sg   1           max1550
max1550-675d844bcf-5bfvz   1           max1550
max1550-675d844bcf-5cn2f   1           max1550
max1550-675d844bcf-5cntn   1           max1550
max1550-675d844bcf-5cpj7   1           max1550
max1550-675d844bcf-5d2p6   1           max1550
max1550-675d844bcf-5ddpx   1           max1550
max1550-675d844bcf-5dp2g   1           max1550
max1550-675d844bcf-5dztp   1           max1550
max1550-675d844bcf-5fbd9   1           max1550
max1550-675d844bcf-5fdr8   1           max1550
max1550-675d844bcf-5fkjh   1           max1550
max1550-675d844bcf-5hw5w   1           max1550
max1550-675d844bcf-5j682   1           max1550
max1550-675d844bcf-5jfjb   1           max1550
max1550-675d844bcf-5jtfn   1           max1550
max1550-675d844bcf-5jxzt   1           max1550
max1550-675d844bcf-5k6f8   1           max1550
max1550-675d844bcf-5k9fn   1           max1550
max1550-675d844bcf-5klwc   1           max1550
max1550-675d844bcf-5lgmk   1           max1550
max1550-675d844bcf-5m7bs   1           max1550
max1550-675d844bcf-5n5lf   1           max1550
max1550-675d844bcf-5n8j2   1           max1550
max1550-675d844bcf-5pszm   1           max1550
max1550-675d844bcf-5q6jq   1           max1550
max1550-675d844bcf-5qfmx   1           max1550
