NAME                      GPU_COUNT   GPU_TYPE
mi300a-68bd7d7b54-22b7v   1           mi300a
mi300a-68bd7d7b54-22fdj   1           mi300a
mi300a-68bd7d7b54-22wzf   1           mi300a
mi300a-68bd7d7b54-25jwp   1           mi300a
mi300a-68bd7d7b54-25n9b   1           mi300a
mi300a-68bd7d7b54-265pq   1           mi300a
mi300a-68bd7d7b54-2686h   1           mi300a
mi300a-68bd7d7b54-26frk   1           mi300a
mi300a-68bd7d7b54-26tmv   1           mi300a
mi300a-68bd7d7b54-275wz   1           mi300a
mi300a-68bd7d7b54-27fkz   1           mi300a
mi300a-68bd7d7b54-282hk   1           mi300a
mi300a-68bd7d7b54-286nv   1           mi300a
mi300a-68bd7d7b54-29d55   1           mi300a
mi300a-68bd7d7b54-29glv   1           mi300a
mi300a-68bd7d7b54-29gsq   1           mi300a
mi300a-68bd7d7b54-2bk4g   1           mi300a
mi300a-68bd7d7b54-2c9bv   1           mi300a
mi300a-68bd7d7b54-2cqgh   1           mi300a
mi300a-68bd7d7b54-2csjm   1           mi300a
mi300a-68bd7d7b54-2dqfh   1           mi300a
mi300a-68bd7d7b54-2f4dc   1           mi300a
mi300a-68bd7d7b54-2fhh9   1           mi300a
mi300a-68bd7d7b54-2fqtz   1           mi300a
mi300a-68bd7d7b54-2fsvv   1           mi300a
mi300a-68bd7d7b54-2fz58   1           mi300a
mi300a-68bd7d7b54-2j46p   1           mi300a
mi300a-68bd7d7b54-2jzd9   1           mi300a
mi300a-68bd7d7b54-2kbxp   1           mi300a
mi300a-68bd7d7b54-2lb8z   1           mi300a
mi300a-68bd7d7b54-2n9xh   1           mi300a
mi300a-68bd7d7b54-2nnpm   1           mi300a
mi300a-68bd7d7b54-2pbkc   1           mi300a
mi300a-68bd7d7b54-2q58j   1           mi300a
mi300a-68bd7d7b54-2q64d   1           mi300a
mi300a-68bd7d7b54-2qnv2   1           mi300a
mi300a-68bd7d7b54-2rv9w   1           mi300a
mi300a-68bd7d7b54-2scr9   1           mi300a
mi300a-68bd7d7b54-2swhr   1           mi300a
mi300a-68bd7d7b54-2swp7   1           mi300a
mi300a-68bd7d7b54-2tpwv   1           mi300a
mi300a-68bd7d7b54-2w6bk   1           mi300a
mi300a-68bd7d7b54-2xwjj   1           mi300a
mi300a-68bd7d7b54-2zz4h   1           mi300a
mi300a-68bd7d7b54-426p8   1           mi300a
mi300a-68bd7d7b54-44bl4   1           mi300a
mi300a-68bd7d7b54-45b9x   1           mi300a
mi300a-68bd7d7b54-45cls   1           mi300a
mi300a-68bd7d7b54-45p97   1           mi300a
mi300a-68bd7d7b54-46rlz   1           mi300a
mi300a-68bd7d7b54-47g59   1           mi300a
mi300a-68bd7d7b54-49vp8   1           mi300a
mi300a-68bd7d7b54-4bmvl   1           mi300a
mi300a-68bd7d7b54-4c9ld   1           mi300a
mi300a-68bd7d7b54-4cwbp   1           mi300a
mi300a-68bd7d7b54-4dd62   1           mi300a
mi300a-68bd7d7b54-4dtqp   1           mi300a
mi300a-68bd7d7b54-4f78j   1           mi300a
mi300a-68bd7d7b54-4fhbf   1           mi300a
mi300a-68bd7d7b54-4fs4h   1           mi300a
mi300a-68bd7d7b54-4gqlj   1           mi300a
mi300a-68bd7d7b54-4hjsm   1           mi300a
mi300a-68bd7d7b54-4hr5v   1           mi300a
mi300a-68bd7d7b54-4j2jx   1           mi300a
mi300a-68bd7d7b54-4jbr5   1           mi300a
mi300a-68bd7d7b54-4jcpc   1           mi300a
mi300a-68bd7d7b54-4k8fg   1           mi300a
mi300a-68bd7d7b54-4kbps   1           mi300a
mi300a-68bd7d7b54-4mc62   1           mi300a
mi300a-68bd7d7b54-4mgj8   1           mi300a
mi300a-68bd7d7b54-4mzjv   1           mi300a
mi300a-68bd7d7b54-4qcsw   1           mi300a
mi300a-68bd7d7b54-4rjf5   1           mi300a
mi300a-68bd7d7b54-4t99r   1           mi300a
mi300a-68bd7d7b54-4tnt9   1           mi300a
mi300a-68bd7d7b54-4v9k9   1           mi300a
mi300a-68bd7d7b54-4vxck   1           mi300a
mi300a-68bd7d7b54-4xw4p   1           mi300a
mi300a-68bd7d7b54-529p4   1           mi300a
mi300a-68bd7d7b54-52qg9   1           mi300a
mi300a-68bd7d7b54-52tvs   1           mi300a
mi300a-68bd7d7b54-5445r   1           mi300a
mi300a-68bd7d7b54-547bk   1           mi300a
mi300a-68bd7d7b54-54l7g   1           mi300a
mi300a-68bd7d7b54-55c6q   1           mi300a
mi300a-68bd7d7b54-57bdt   1           mi300a
mi300a-68bd7d7b54-57ptx   1           mi300a
mi300a-68bd7d7b54-599tv   1           mi300a
mi300a-68bd7d7b54-5b5nt   1           mi300a
mi300a-68bd7d7b54-5b6k9   1           mi300a
mi300a-68bd7d7b54-5b8gp   1           mi300a
mi300a-68bd7d7b54-5b9x5   1           mi300a
mi300a-68bd7d7b54-5bw8x   1           mi300a
mi300a-68bd7d7b54-5c2cc   1           mi300a
mi300a-68bd7d7b54-5dczr   1           mi300a
mi300a-68bd7d7b54-5gs49   1           mi300a
mi300a-68bd7d7b54-5jghx   1           mi300a
mi300a-68bd7d7b54-5jsvs   1           mi300a
mi300a-68bd7d7b54-5mdvb   1           mi300a
mi300a-68bd7d7b54-5mglb   1           mi300a
mi300a-68bd7d7b54-5phrr   1           mi300a
mi300a-68bd7d7b54-5qlwg   1           mi300a
