NAME                      GPU_COUNT   GPU_TYPE
mi325x-5ffc6fc9d6-25879   1           mi325x
mi325x-5ffc6fc9d6-27h7f   1           mi325x
mi325x-5ffc6fc9d6-27t6q   1           mi325x
mi325x-5ffc6fc9d6-286ms   1           mi325x
mi325x-5ffc6fc9d6-289vx   1           mi325x
mi325x-5ffc6fc9d6-28d6s   1           mi325x
mi325x-5ffc6fc9d6-28kkt   1           mi325x
mi325x-5ffc6fc9d6-28krf   1           mi325x
mi325x-5ffc6fc9d6-28rxc   1           mi325x
mi325x-5ffc6fc9d6-2bdpp   1           mi325x
mi325x-5ffc6fc9d6-2c2p7   1           mi325x
mi325x-5ffc6fc9d6-2c7sb   1           mi325x
mi325x-5ffc6fc9d6-2d7w9   1           mi325x
mi325x-5ffc6fc9d6-2dl9r   1           mi325x
mi325x-5ffc6fc9d6-2fh9r   1           mi325x
mi325x-5ffc6fc9d6-2fn5f   1           mi325x
mi325x-5ffc6fc9d6-2g4p8   1           mi325x
mi325x-5ffc6fc9d6-2hc9w   1           mi325x
mi325x-5ffc6fc9d6-2hzr6   1           mi325x
mi325x-5ffc6fc9d6-2jzkz   1           mi325x
mi325x-5ffc6fc9d6-2kng8   1           mi325x
mi325x-5ffc6fc9d6-2lfd2   1           mi325x
mi325x-5ffc6fc9d6-2lgvw   1           mi325x
mi325x-5ffc6fc9d6-2lhb7   1           mi325x
mi325x-5ffc6fc9d6-2lpvb   1           mi325x
mi325x-5ffc6fc9d6-2lt5n   1           mi325x
mi325x-5ffc6fc9d6-2mcq2   1           mi325x
mi325x-5ffc6fc9d6-2p48k   1           mi325x
mi325x-5ffc6fc9d6-2pg2s   1           mi325x
mi325x-5ffc6fc9d6-2pnq8   1           mi325x
mi325x-5ffc6fc9d6-2qg99   1           mi325x
mi325x-5ffc6fc9d6-2qlvd   1           mi325x
mi325x-5ffc6fc9d6-2s97v   1           mi325x
mi325x-5ffc6fc9d6-2slc8   1           mi325x
mi325x-5ffc6fc9d6-2t4gx   1           mi325x
mi325x-5ffc6fc9d6-2tv84   1           mi325x
mi325x-5ffc6fc9d6-2tvkd   1           mi325x
mi325x-5ffc6fc9d6-2vxxm   1           mi325x
mi325x-5ffc6fc9d6-2w8l8   1           mi325x
mi325x-5ffc6fc9d6-2wrpd   1           mi325x
mi325x-5ffc6fc9d6-2zt8z   1           mi325x
mi325x-5ffc6fc9d6-42kwb   1           mi325x
mi325x-5ffc6fc9d6-44bv5   1           mi325x
mi325x-5ffc6fc9d6-44dkm   1           mi325x
mi325x-5ffc6fc9d6-44jtp   1           mi325x
mi325x-5ffc6fc9d6-46bnx   1           mi325x
mi325x-5ffc6fc9d6-47hmn   1           mi325x
mi325x-5ffc6fc9d6-494jj   1           mi325x
mi325x-5ffc6fc9d6-49fjs   1           mi325x
mi325x-5ffc6fc9d6-4bdfl   1           mi325x
mi325x-5ffc6fc9d6-4bpf4   1           mi325x
mi325x-5ffc6fc9d6-4bqgz   1           mi325x
mi325x-5ffc6fc9d6-4c46t   1           mi325x
mi325x-5ffc6fc9d6-4c8qw   1           mi325x
mi325x-5ffc6fc9d6-4cm29   1           mi325x
mi325x-5ffc6fc9d6-4d8v4   1           mi325x
mi325x-5ffc6fc9d6-4dtzc   1           mi325x
mi325x-5ffc6fc9d6-4f9s8   1           mi325x
mi325x-5ffc6fc9d6-4g5qs   1           mi325x
mi325x-5ffc6fc9d6-4hkpz   1           mi325x
mi325x-5ffc6fc9d6-4hljt   1           mi325x
mi325x-5ffc6fc9d6-4lzdw   1           mi325x
mi325x-5ffc6fc9d6-4mdqd   1           mi325x
mi325x-5ffc6fc9d6-4ndfm   1           mi325x
mi325x-5ffc6fc9d6-4nld6   1           mi325x
mi325x-5ffc6fc9d6-4pkdd   1           mi325x
mi325x-5ffc6fc9d6-4qbxm   1           mi325x
mi325x-5ffc6fc9d6-4qrd4   1           mi325x
mi325x-5ffc6fc9d6-4r6zh   1           mi325x
mi325x-5ffc6fc9d6-4rw9b   1           mi325x
mi325x-5ffc6fc9d6-4tr77   1           mi325x
