NAME                  GPU_COUNT   GPU_TYPE
t4-697569bdd6-22css   1           t4
t4-697569bdd6-22x8n   1           t4
t4-697569bdd6-242h9   1           t4
t4-697569bdd6-24c5g   1           t4
t4-697569bdd6-25gkw   1           t4
t4-697569bdd6-26hgr   1           t4
t4-697569bdd6-2752q   1           t4
t4-697569bdd6-276l4   1           t4
t4-697569bdd6-2bx2l   1           t4
t4-697569bdd6-2c4kq   1           t4
t4-697569bdd6-2d2fs   1           t4
t4-697569bdd6-2h4nh   1           t4
t4-697569bdd6-2hcb8   1           t4
t4-697569bdd6-2k5md   1           t4
t4-697569bdd6-2l7jx   1           t4
t4-697569bdd6-2n8df   1           t4
t4-697569bdd6-2pd8t   1           t4
t4-697569bdd6-2pmbw   1           t4
t4-697569bdd6-2pw27   1           t4
t4-697569bdd6-2r6nb   1           t4
t4-697569bdd6-2rcdv   1           t4
t4-697569bdd6-2s8rm   1           t4
t4-697569bdd6-2sbzq   1           t4
t4-697569bdd6-2snvg   1           t4
t4-697569bdd6-2sxb4   1           t4
t4-697569bdd6-2vlr9   1           t4
t4-697569bdd6-2vrjr   1           t4
t4-697569bdd6-2wbrr   1           t4
t4-697569bdd6-2x2g5   1           t4
t4-697569bdd6-2xgp5   1           t4
t4-697569bdd6-2zmph   1           t4
t4-697569bdd6-424wz   1           t4
t4-697569bdd6-42rqk   1           t4
t4-697569bdd6-42wck   1           t4
t4-697569bdd6-44dwq   1           t4
t4-697569bdd6-45d56   1           t4
t4-697569bdd6-45rht   1           t4
t4-697569bdd6-45w65   1           t4
t4-697569bdd6-46fmv   1           t4
t4-697569bdd6-4778t   1           t4
t4-697569bdd6-47fk7   1           t4
t4-697569bdd6-4b2wx   1           t4
t4-697569bdd6-4bf7z   1           t4
t4-697569bdd6-4btpx   1           t4
t4-697569bdd6-4bz6r   1           t4
t4-697569bdd6-4c8gn   1           t4
t4-697569bdd6-4cp6s   1           t4
t4-697569bdd6-4d2hs   1           t4
t4-697569bdd6-4dqx9   1           t4
t4-697569bdd6-4fnq8   1           t4
t4-697569bdd6-4fw6c   1           t4
t4-697569bdd6-4hx69   1           t4
t4-697569bdd6-4ms89   1           t4
t4-697569bdd6-4ntcb   1           t4
t4-697569bdd6-4p7zq   1           t4
t4-697569bdd6-4q989   1           t4
t4-697569bdd6-4qhhk   1           t4
t4-697569bdd6-4rxg8   1           t4
t4-697569bdd6-4s2g2   1           t4
t4-697569bdd6-4sdwl   1           t4
t4-697569bdd6-4x2v7   1           t4
t4-697569bdd6-4x9pp   1           t4
t4-697569bdd6-4zxkg   1           t4
t4-697569bdd6-544sl   1           t4
t4-697569bdd6-547xj   1           t4
t4-697569bdd6-55wth   1           t4
t4-697569bdd6-55wtt   1           t4
t4-697569bdd6-55zbl   1           t4
t4-697569bdd6-5625c   1           t4
t4-697569bdd6-565x9   1           t4
t4-697569bdd6-56p6w   1           t4
t4-697569bdd6-57bcj   1           t4
t4-697569bdd6-57dfk   1           t4
t4-697569bdd6-57tb6   1           t4
t4-697569bdd6-57wb9   1           t4
t4-697569bdd6-59l79   1           t4
t4-697569bdd6-59x6n   1           t4
t4-697569bdd6-5bqgz   1           t4
