NAME                    GPU_COUNT   GPU_TYPE
v100-569686d5bd-225p6   1           v100
v100-569686d5bd-24hnx   1           v100
v100-569686d5bd-24jl4   1           v100
v100-569686d5bd-25c86   1           v100
v100-569686d5bd-264c9   1           v100
v100-569686d5bd-26fk8   1           v100
v100-569686d5bd-26j4p   1           v100
v100-569686d5bd-277wl   1           v100
v100-569686d5bd-27ckx   1           v100
v100-569686d5bd-29cvp   1           v100
v100-569686d5bd-2bg9c   1           v100
v100-569686d5bd-2cw7v   1           v100
v100-569686d5bd-2d2z2   1           v100
v100-569686d5bd-2d5w4   1           v100
v100-569686d5bd-2d69d   1           v100
v100-569686d5bd-2ffvb   1           v100
v100-569686d5bd-2gqdj   1           v100
v100-569686d5bd-2h8jg   1           v100
v100-569686d5bd-2hmkh   1           v100
v100-569686d5bd-2hr25   1           v100
v100-569686d5bd-2hz4b   1           v100
v100-569686d5bd-2jqc5   1           v100
v100-569686d5bd-2kzmj   1           v100
v100-569686d5bd-2mr8z   1           v100
v100-569686d5bd-2nbpw   1           v100
v100-569686d5bd-2nf9h   1           v100
v100-569686d5bd-2p2rn   1           v100
v100-569686d5bd-2q45x   1           v100
v100-569686d5bd-2sdpj   1           v100
v100-569686d5bd-2vc9j   1           v100
v100-569686d5bd-2wp42   1           v100
v100-569686d5bd-2z5ls   1           v100
v100-569686d5bd-2zmxs   1           v100
v100-569686d5bd-447pp   1           v100
v100-569686d5bd-44rdg   1           v100
v100-569686d5bd-44xx6   1           v100
v100-569686d5bd-45cq6   1           v100
v100-569686d5bd-45f49   1           v100
v100-569686d5bd-45f5b   1           v100
v100-569686d5bd-45hs5   1           v100
v100-569686d5bd-477jx   1           v100
v100-569686d5bd-47kbh   1           v100
v100-569686d5bd-47mg8   1           v100
v100-569686d5bd-47ng2   1           v100
v100-569686d5bd-48887   1           v100
v100-569686d5bd-48v7l   1           v100
v100-569686d5bd-4b4g4   1           v100
v100-569686d5bd-4bht8   1           v100
v100-569686d5bd-4cjjj   1           v100
v100-569686d5bd-4dnkm   1           v100
v100-569686d5bd-4fblh   1           v100
v100-569686d5bd-4fqd7   1           v100
v100-569686d5bd-4fswt   1           v100
v100-569686d5bd-4g67v   1           v100
v100-569686d5bd-4ggh8   1           v100
v100-569686d5bd-4gphp   1           v100
v100-569686d5bd-4hrlj   1           v100
v100-569686d5bd-4jgdj   1           v100
v100-569686d5bd-4jnrc   1           v100
v100-569686d5bd-4kck8   1           v100
v100-569686d5bd-4mt7b   1           v100
v100-569686d5bd-4qk8q   1           v100
v100-569686d5bd-4r25j   1           v100
v100-569686d5bd-4r7km   1           v100
v100-569686d5bd-4r9hc   1           v100
v100-569686d5bd-4s9jj   1           v100
v100-569686d5bd-4t5hk   1           v100
v100-569686d5bd-4vbfz   1           v100
v100-569686d5bd-4vnvf   1           v100
v100-569686d5bd-4vrfn   1           v100
v100-569686d5bd-4w5gz   1           v100
v100-569686d5bd-4wx6s   1           v100
v100-569686d5bd-4xrmw   1           v100
v100-569686d5bd-4xxpl   1           v100
v100-569686d5bd-4z4q6   1           v100
v100-569686d5bd-4zcc5   1           v100
v100-569686d5bd-4zmfk   1           v100
v100-569686d5bd-4zw99   1           v100
v100-569686d5bd-4zx7x   1           v100
v100-569686d5bd-52f6q   1           v100
v100-569686d5bd-52xkf   1           v100
v100-569686d5bd-54b5x   1           v100
v100-569686d5bd-54qkq   1           v100
v100-569686d5bd-57b52   1           v100
v100-569686d5bd-59bkz   1           v100
v100-569686d5bd-5bwbh   1           v100
v100-569686d5bd-5ckrq   1           v100
v100-569686d5bd-5dccm   1           v100
v100-569686d5bd-5gd2t   1           v100
v100-569686d5bd-5gg7w   1           v100
