NAME               GPU_COUNT   GPU_TYPE
max1550-node-1     10          max1550
max1550-node-10    10          max1550
max1550-node-100   10          max1550
max1550-node-11    10          max1550
max1550-node-12    10          max1550
max1550-node-13    10          max1550
max1550-node-14    10          max1550
max1550-node-15    10          max1550
max1550-node-16    10          max1550
max1550-node-17    10          max1550
max1550-node-18    10          max1550
max1550-node-19    10          max1550
max1550-node-2     10          max1550
max1550-node-20    10          max1550
max1550-node-21    10          max1550
max1550-node-22    10          max1550
max1550-node-23    10          max1550
max1550-node-24    10          max1550
max1550-node-25    10          max1550
max1550-node-26    10          max1550
max1550-node-27    10          max1550
max1550-node-28    10          max1550
max1550-node-29    10          max1550
max1550-node-3     10          max1550
max1550-node-30    10          max1550
max1550-node-31    10          max1550
max1550-node-32    10          max1550
max1550-node-33    10          max1550
max1550-node-34    10          max1550
max1550-node-35    10          max1550
max1550-node-36    10          max1550
max1550-node-37    10          max1550
max1550-node-38    10          max1550
max1550-node-39    10          max1550
max1550-node-4     10          max1550
max1550-node-40    10          max1550
max1550-node-41    10          max1550
max1550-node-42    10          max1550
max1550-node-43    10          max1550
max1550-node-44    10          max1550
max1550-node-45    10          max1550
max1550-node-46    10          max1550
max1550-node-47    10          max1550
max1550-node-48    10          max1550
max1550-node-49    10          max1550
max1550-node-5     10          max1550
max1550-node-50    10          max1550
max1550-node-51    10          max1550
max1550-node-52    10          max1550
max1550-node-53    10          max1550
max1550-node-54    10          max1550
max1550-node-55    10          max1550
max1550-node-56    10          max1550
max1550-node-57    10          max1550
max1550-node-58    10          max1550
max1550-node-59    10          max1550
max1550-node-6     10          max1550
max1550-node-60    10          max1550
max1550-node-61    10          max1550
max1550-node-62    10          max1550
max1550-node-63    10          max1550
max1550-node-64    10          max1550
max1550-node-65    10          max1550
max1550-node-66    10          max1550
max1550-node-67    10          max1550
max1550-node-68    10          max1550
max1550-node-69    10          max1550
max1550-node-7     10          max1550
max1550-node-70    10          max1550
max1550-node-71    10          max1550
max1550-node-72    10          max1550
max1550-node-73    10          max1550
max1550-node-74    10          max1550
max1550-node-75    10          max1550
max1550-node-76    10          max1550
max1550-node-77    10          max1550
max1550-node-78    10          max1550
max1550-node-79    10          max1550
max1550-node-8     10          max1550
max1550-node-80    10          max1550
max1550-node-81    10          max1550
max1550-node-82    10          max1550
max1550-node-83    10          max1550
max1550-node-84    10          max1550
max1550-node-85    10          max1550
max1550-node-86    10          max1550
max1550-node-87    10          max1550
max1550-node-88    10          max1550
max1550-node-89    10          max1550
max1550-node-9     10          max1550
max1550-node-90    10          max1550
max1550-node-91    10          max1550
max1550-node-92    10          max1550
max1550-node-93    10          max1550
max1550-node-94    10          max1550
max1550-node-95    10          max1550
max1550-node-96    10          max1550
max1550-node-97    10          max1550
max1550-node-98    10          max1550
max1550-node-99    10          max1550
