NAME                            GPU_COUNT   GPU_TYPE
jaguarshores-6669555f8b-227lx   1           jaguarshores
jaguarshores-6669555f8b-22m9l   1           jaguarshores
jaguarshores-6669555f8b-256kz   1           jaguarshores
jaguarshores-6669555f8b-258mr   1           jaguarshores
jaguarshores-6669555f8b-25d88   1           jaguarshores
jaguarshores-6669555f8b-25pbr   1           jaguarshores
jaguarshores-6669555f8b-262zq   1           jaguarshores
jaguarshores-6669555f8b-2695b   1           jaguarshores
jaguarshores-6669555f8b-29fbx   1           jaguarshores
jaguarshores-6669555f8b-29gcd   1           jaguarshores
jaguarshores-6669555f8b-2bcqq   1           jaguarshores
jaguarshores-6669555f8b-2cm94   1           jaguarshores
jaguarshores-6669555f8b-2cs8v   1           jaguarshores
jaguarshores-6669555f8b-2dkxk   1           jaguarshores
jaguarshores-6669555f8b-2dqkn   1           jaguarshores
jaguarshores-6669555f8b-2dttv   1           jaguarshores
jaguarshores-6669555f8b-2f977   1           jaguarshores
jaguarshores-6669555f8b-2gh5f   1           jaguarshores
jaguarshores-6669555f8b-2hdsk   1           jaguarshores
jaguarshores-6669555f8b-2hj98   1           jaguarshores
jaguarshores-6669555f8b-2hrq8   1           jaguarshores
jaguarshores-6669555f8b-2hsc2   1           jaguarshores
jaguarshores-6669555f8b-2htl4   1           jaguarshores
jaguarshores-6669555f8b-2j4ms   1           jaguarshores
jaguarshores-6669555f8b-2jxtd   1           jaguarshores
jaguarshores-6669555f8b-2l8v7   1           jaguarshores
jaguarshores-6669555f8b-2ncs4   1           jaguarshores
jaguarshores-6669555f8b-2ngqq   1           jaguarshores
jaguarshores-6669555f8b-2nwk2   1           jaguarshores
jaguarshores-6669555f8b-2ph7j   1           jaguarshores
jaguarshores-6669555f8b-2q8kn   1           jaguarshores
jaguarshores-6669555f8b-2s7vx   1           jaguarshores
jaguarshores-6669555f8b-2txw8   1           jaguarshores
jaguarshores-6669555f8b-2w2jd   1           jaguarshores
jaguarshores-6669555f8b-2x682   1           jaguarshores
jaguarshores-6669555f8b-2zsj6   1           jaguarshores
jaguarshores-6669555f8b-42ck7   1           jaguarshores
jaguarshores-6669555f8b-42xgm   1           jaguarshores
jaguarshores-6669555f8b-449fm   1           jaguarshores
jaguarshores-6669555f8b-45r59   1           jaguarshores
jaguarshores-6669555f8b-46dhq   1           jaguarshores
jaguarshores-6669555f8b-47gvz   1           jaguarshores
jaguarshores-6669555f8b-486rt   1           jaguarshores
jaguarshores-6669555f8b-49jck   1           jaguarshores
jaguarshores-6669555f8b-4btpx   1           jaguarshores
jaguarshores-6669555f8b-4cgm5   1           jaguarshores
jaguarshores-6669555f8b-4d4bv   1           jaguarshores
jaguarshores-6669555f8b-4d556   1           jaguarshores
jaguarshores-6669555f8b-4djx8   1           jaguarshores
jaguarshores-6669555f8b-4fbkk   1           jaguarshores
jaguarshores-6669555f8b-4frkh   1           jaguarshores
jaguarshores-6669555f8b-4fx5v   1           jaguarshores
jaguarshores-6669555f8b-4grl6   1           jaguarshores
jaguarshores-6669555f8b-4gx6w   1           jaguarshores
jaguarshores-6669555f8b-4hpkt   1           jaguarshores
jaguarshores-6669555f8b-4jh6d   1           jaguarshores
jaguarshores-6669555f8b-4jjlr   1           jaguarshores
jaguarshores-6669555f8b-4mnhm   1           jaguarshores
jaguarshores-6669555f8b-4n2q8   1           jaguarshores
jaguarshores-6669555f8b-4n46h   1           jaguarshores
jaguarshores-6669555f8b-4nf66   1           jaguarshores
jaguarshores-6669555f8b-4p9pk   1           jaguarshores
jaguarshores-6669555f8b-4pf7h   1           jaguarshores
jaguarshores-6669555f8b-4r5fh   1           jaguarshores
jaguarshores-6669555f8b-4r5pd   1           jaguarshores
jaguarshores-6669555f8b-4r5z8   1           jaguarshores
jaguarshores-6669555f8b-4rqkr   1           jaguarshores
jaguarshores-6669555f8b-4t5q7   1           jaguarshores
jaguarshores-6669555f8b-4t9pf   1           jaguarshores
jaguarshores-6669555f8b-4tdmn   1           jaguarshores
jaguarshores-6669555f8b-4thmd   1           jaguarshores
jaguarshores-6669555f8b-4vgfd   1           jaguarshores
jaguarshores-6669555f8b-4vhrc   1           jaguarshores
jaguarshores-6669555f8b-4wqpd   1           jaguarshores
jaguarshores-6669555f8b-4xj5m   1           jaguarshores
jaguarshores-6669555f8b-4zbn5   1           jaguarshores
jaguarshores-6669555f8b-528wv   1           jaguarshores
jaguarshores-6669555f8b-54lfj   1           jaguarshores
jaguarshores-6669555f8b-54xmf   1           jaguarshores
jaguarshores-6669555f8b-56fz4   1           jaguarshores
jaguarshores-6669555f8b-56z8v   1           jaguarshores
jaguarshores-6669555f8b-57gkh   1           jaguarshores
jaguarshores-6669555f8b-58d5s   1           jaguarshores
jaguarshores-6669555f8b-5cv2t   1           jaguarshores
jaguarshores-6669555f8b-5d98q   1           jaguarshores
jaguarshores-6669555f8b-5dfcq   1           jaguarshores
jaguarshores-6669555f8b-5dp62   1           jaguarshores
jaguarshores-6669555f8b-5f5pw   1           jaguarshores
jaguarshores-6669555f8b-5f6vm   1           jaguarshores
jaguarshores-6669555f8b-5f9dg   1           jaguarshores
jaguarshores-6669555f8b-5fkz5   1           jaguarshores
jaguarshores-6669555f8b-5fw8z   1           jaguarshores
jaguarshores-6669555f8b-5gcq8   1           jaguarshores
jaguarshores-6669555f8b-5h5pp   1           jaguarshores
jaguarshores-6669555f8b-5hkgb   1           jaguarshores
jaguarshores-6669555f8b-5ht8j   1           jaguarshores
jaguarshores-6669555f8b-5jcwm   1           jaguarshores
jaguarshores-6669555f8b-5jzlr   1           jaguarshores
jaguarshores-6669555f8b-5lpdr   1           jaguarshores
jaguarshores-6669555f8b-5mdgh   1           jaguarshores
jaguarshores-6669555f8b-5ntsr   1           jaguarshores
jaguarshores-6669555f8b-5p76x   1           jaguarshores
jaguarshores-6669555f8b-5pd9t   1           jaguarshores
jaguarshores-6669555f8b-5qc7r   1           jaguarshores
jaguarshores-6669555f8b-5sl8p   1           jaguarshores
jaguarshores-6669555f8b-5snmr   1           jaguarshores
jaguarshores-6669555f8b-5tzwq   1           jaguarshores
jaguarshores-6669555f8b-5wkkd   1           jaguarshores
jaguarshores-6669555f8b-5zrcs   1           jaguarshores
jaguarshores-6669555f8b-5zsdz   1           jaguarshores
jaguarshores-6669555f8b-69j57   1           jaguarshores
jaguarshores-6669555f8b-69qr7   1           jaguarshores
jaguarshores-6669555f8b-6c2fh   1           jaguarshores
jaguarshores-6669555f8b-6c9d5   1           jaguarshores
jaguarshores-6669555f8b-6cghm   1           jaguarshores
jaguarshores-6669555f8b-6cvc5   1           jaguarshores
jaguarshores-6669555f8b-6dk7w   1           jaguarshores
jaguarshores-6669555f8b-6gbrk   1           jaguarshores
jaguarshores-6669555f8b-6ght9   1           jaguarshores
jaguarshores-6669555f8b-6glwk   1           jaguarshores
jaguarshores-6669555f8b-6jd8d   1           jaguarshores
jaguarshores-6669555f8b-6kqqj   1           jaguarshores
jaguarshores-6669555f8b-6m6t9   1           jaguarshores
jaguarshores-6669555f8b-6mvsw   1           jaguarshores
jaguarshores-6669555f8b-6mw2d   1           jaguarshores
jaguarshores-6669555f8b-6mxl8   1           jaguarshores
jaguarshores-6669555f8b-6nfjn   1           jaguarshores
jaguarshores-6669555f8b-6np6g   1           jaguarshores
jaguarshores-6669555f8b-6rhs4   1           jaguarshores
jaguarshores-6669555f8b-6sz6b   1           jaguarshores
jaguarshores-6669555f8b-6tl4s   1           jaguarshores
jaguarshores-6669555f8b-6wcgs   1           jaguarshores
jaguarshores-6669555f8b-6whng   1           jaguarshores
jaguarshores-6669555f8b-6wl2m   1           jaguarshores
jaguarshores-6669555f8b-6xb47   1           jaguarshores
jaguarshores-6669555f8b-6xgmn   1           jaguarshores
jaguarshores-6669555f8b-6xlrl   1           jaguarshores
jaguarshores-6669555f8b-74x9k   1           jaguarshores
jaguarshores-6669555f8b-759m7   1           jaguarshores
jaguarshores-6669555f8b-75xg2   1           jaguarshores
jaguarshores-6669555f8b-75zfm   1           jaguarshores
jaguarshores-6669555f8b-766c7   1           jaguarshores
jaguarshores-6669555f8b-76vbh   1           jaguarshores
jaguarshores-6669555f8b-775hw   1           jaguarshores
jaguarshores-6669555f8b-778kc   1           jaguarshores
jaguarshores-6669555f8b-77k29   1           jaguarshores
jaguarshores-6669555f8b-78bsj   1           jaguarshores
jaguarshores-6669555f8b-792tv   1           jaguarshores
jaguarshores-6669555f8b-79c7l   1           jaguarshores
jaguarshores-6669555f8b-79ckn   1           jaguarshores
jaguarshores-6669555f8b-79hbn   1           jaguarshores
jaguarshores-6669555f8b-7bhwd   1           jaguarshores
jaguarshores-6669555f8b-7dglh   1           jaguarshores
jaguarshores-6669555f8b-7f4mk   1           jaguarshores
jaguarshores-6669555f8b-7ghsm   1           jaguarshores
jaguarshores-6669555f8b-7gn68   1           jaguarshores
jaguarshores-6669555f8b-7jkq9   1           jaguarshores
jaguarshores-6669555f8b-7jpsn   1           jaguarshores
jaguarshores-6669555f8b-7jwmw   1           jaguarshores
jaguarshores-6669555f8b-7jxxj   1           jaguarshores
jaguarshores-6669555f8b-7kqz9   1           jaguarshores
jaguarshores-6669555f8b-7l7xw   1           jaguarshores
jaguarshores-6669555f8b-7ll8h   1           jaguarshores
jaguarshores-6669555f8b-7nblh   1           jaguarshores
jaguarshores-6669555f8b-7ndm2   1           jaguarshores
jaguarshores-6669555f8b-7nlnv   1           jaguarshores
jaguarshores-6669555f8b-7nppg   1           jaguarshores
jaguarshores-6669555f8b-7qthh   1           jaguarshores
