NAME                      GPU_COUNT   GPU_TYPE
mi300x-65f859b7d8-222r8   1           mi300x
mi300x-65f859b7d8-228gc   1           mi300x
mi300x-65f859b7d8-24frc   1           mi300x
mi300x-65f859b7d8-24lkj   1           mi300x
mi300x-65f859b7d8-25czf   1           mi300x
mi300x-65f859b7d8-268sw   1           mi300x
mi300x-65f859b7d8-277bx   1           mi300x
mi300x-65f859b7d8-27bmr   1           mi300x
mi300x-65f859b7d8-29nnr   1           mi300x
mi300x-65f859b7d8-2cvg4   1           mi300x
mi300x-65f859b7d8-2dsd4   1           mi300x
mi300x-65f859b7d8-2dt84   1           mi300x
mi300x-65f859b7d8-2dwhq   1           mi300x
mi300x-65f859b7d8-2dxxh   1           mi300x
mi300x-65f859b7d8-2f5mp   1           mi300x
mi300x-65f859b7d8-2fbbj   1           mi300x
mi300x-65f859b7d8-2fjf8   1           mi300x
mi300x-65f859b7d8-2fvmv   1           mi300x
mi300x-65f859b7d8-2g72z   1           mi300x
mi300x-65f859b7d8-2gv92   1           mi300x
mi300x-65f859b7d8-2hhr2   1           mi300x
mi300x-65f859b7d8-2jb79   1           mi300x
mi300x-65f859b7d8-2jdf4   1           mi300x
mi300x-65f859b7d8-2l8td   1           mi300x
mi300x-65f859b7d8-2ljck   1           mi300x
mi300x-65f859b7d8-2mg2x   1           mi300x
mi300x-65f859b7d8-2n57p   1           mi300x
mi300x-65f859b7d8-2nkpg   1           mi300x
mi300x-65f859b7d8-2q84d   1           mi300x
mi300x-65f859b7d8-2qnmr   1           mi300x
mi300x-65f859b7d8-2sgmv   1           mi300x
mi300x-65f859b7d8-2stk5   1           mi300x
mi300x-65f859b7d8-2v4wn   1           mi300x
mi300x-65f859b7d8-2vqjp   1           mi300x
mi300x-65f859b7d8-2wztw   1           mi300x
mi300x-65f859b7d8-2x4lp   1           mi300x
mi300x-65f859b7d8-2xq74   1           mi300x
mi300x-65f859b7d8-2xxvw   1           mi300x
mi300x-65f859b7d8-2zh9p   1           mi300x
mi300x-65f859b7d8-422ss   1           mi300x
mi300x-65f859b7d8-424gd   1           mi300x
mi300x-65f859b7d8-42b4d   1           mi300x
mi300x-65f859b7d8-454tn   1           mi300x
mi300x-65f859b7d8-46ldj   1           mi300x
mi300x-65f859b7d8-46xxh   1           mi300x
mi300x-65f859b7d8-48pn2   1           mi300x
mi300x-65f859b7d8-49djx   1           mi300x
mi300x-65f859b7d8-4csmn   1           mi300x
mi300x-65f859b7d8-4d5rr   1           mi300x
mi300x-65f859b7d8-4fq2s   1           mi300x
mi300x-65f859b7d8-4g6sd   1           mi300x
mi300x-65f859b7d8-4gb2b   1           mi300x
mi300x-65f859b7d8-4gn4l   1           mi300x
mi300x-65f859b7d8-4hdsr   1           mi300x
mi300x-65f859b7d8-4k4ng   1           mi300x
mi300x-65f859b7d8-4kmpb   1           mi300x
mi300x-65f859b7d8-4kshw   1           mi300x
mi300x-65f859b7d8-4kzdx   1           mi300x
mi300x-65f859b7d8-4lqhl   1           mi300x
mi300x-65f859b7d8-4lqj5   1           mi300x
mi300x-65f859b7d8-4m5vt   1           mi300x
mi300x-65f859b7d8-4mkds   1           mi300x
mi300x-65f859b7d8-4n9n6   1           mi300x
mi300x-65f859b7d8-4nm56   1           mi300x
mi300x-65f859b7d8-4pf9x   1           mi300x
mi300x-65f859b7d8-4pzvt   1           mi300x
mi300x-65f859b7d8-4qg8z   1           mi300x
