NAME                    GPU_COUNT   GPU_TYPE
b100-7f8964ff88-226vr   1           b100
b100-7f8964ff88-22j4s   1           b100
b100-7f8964ff88-22s85   1           b100
b100-7f8964ff88-244cw   1           b100
b100-7f8964ff88-25475   1           b100
b100-7f8964ff88-26lfx   1           b100
b100-7f8964ff88-28mql   1           b100
b100-7f8964ff88-294tm   1           b100
b100-7f8964ff88-297rh   1           b100
b100-7f8964ff88-29p2j   1           b100
b100-7f8964ff88-2ddgn   1           b100
b100-7f8964ff88-2fs4b   1           b100
b100-7f8964ff88-2g97l   1           b100
b100-7f8964ff88-2gczs   1           b100
b100-7f8964ff88-2j8xl   1           b100
b100-7f8964ff88-2jjb5   1           b100
b100-7f8964ff88-2k89h   1           b100
b100-7f8964ff88-2kfpn   1           b100
b100-7f8964ff88-2kg4m   1           b100
b100-7f8964ff88-2nksd   1           b100
b100-7f8964ff88-2nzll   1           b100
b100-7f8964ff88-2qkv9   1           b100
b100-7f8964ff88-2rfj6   1           b100
b100-7f8964ff88-2rvhw   1           b100
b100-7f8964ff88-2s7sh   1           b100
b100-7f8964ff88-2tg2q   1           b100
b100-7f8964ff88-2v2pc   1           b100
b100-7f8964ff88-2v2tm   1           b100
b100-7f8964ff88-2w7vk   1           b100
b100-7f8964ff88-2wf8n   1           b100
b100-7f8964ff88-2xb7r   1           b100
b100-7f8964ff88-2xj5q   1           b100
b100-7f8964ff88-2z795   1           b100
b100-7f8964ff88-2zsdw   1           b100
b100-7f8964ff88-428xx   1           b100
b100-7f8964ff88-42whw   1           b100
b100-7f8964ff88-44h9t   1           b100
b100-7f8964ff88-44jkx   1           b100
b100-7f8964ff88-459zq   1           b100
b100-7f8964ff88-45n9g   1           b100
b100-7f8964ff88-475m2   1           b100
b100-7f8964ff88-4788k   1           b100
b100-7f8964ff88-47kmc   1           b100
b100-7f8964ff88-47slq   1           b100
b100-7f8964ff88-48ls2   1           b100
b100-7f8964ff88-48wmc   1           b100
b100-7f8964ff88-4bz72   1           b100
b100-7f8964ff88-4c8bp   1           b100
b100-7f8964ff88-4cn5x   1           b100
b100-7f8964ff88-4djsf   1           b100
b100-7f8964ff88-4dkkf   1           b100
b100-7f8964ff88-4flv2   1           b100
b100-7f8964ff88-4gpbf   1           b100
b100-7f8964ff88-4hfxx   1           b100
b100-7f8964ff88-4hl24   1           b100
b100-7f8964ff88-4j5km   1           b100
b100-7f8964ff88-4kxhf   1           b100
b100-7f8964ff88-4lg9w   1           b100
