NAME                      GPU_COUNT   GPU_TYPE
mi355x-66d9cdf788-22clf   1           mi355x
mi355x-66d9cdf788-24nkp   1           mi355x
mi355x-66d9cdf788-25cd8   1           mi355x
mi355x-66d9cdf788-25cz9   1           mi355x
mi355x-66d9cdf788-266lq   1           mi355x
mi355x-66d9cdf788-28rk7   1           mi355x
mi355x-66d9cdf788-29l74   1           mi355x
mi355x-66d9cdf788-2cdck   1           mi355x
mi355x-66d9cdf788-2cvxc   1           mi355x
mi355x-66d9cdf788-2dbs8   1           mi355x
mi355x-66d9cdf788-2ddxc   1           mi355x
mi355x-66d9cdf788-2dmph   1           mi355x
mi355x-66d9cdf788-2fqlh   1           mi355x
mi355x-66d9cdf788-2hl97   1           mi355x
mi355x-66d9cdf788-2j7dp   1           mi355x
mi355x-66d9cdf788-2jrtp   1           mi355x
mi355x-66d9cdf788-2knvw   1           mi355x
mi355x-66d9cdf788-2lfds   1           mi355x
mi355x-66d9cdf788-2mbfz   1           mi355x
mi355x-66d9cdf788-2nwzh   1           mi355x
mi355x-66d9cdf788-2pbvs   1           mi355x
mi355x-66d9cdf788-2qn77   1           mi355x
mi355x-66d9cdf788-2r8cd   1           mi355x
mi355x-66d9cdf788-2r92t   1           mi355x
mi355x-66d9cdf788-2sjbs   1           mi355x
mi355x-66d9cdf788-2t4p7   1           mi355x
mi355x-66d9cdf788-2tbxk   1           mi355x
mi355x-66d9cdf788-2vrq7   1           mi355x
mi355x-66d9cdf788-2xcb6   1           mi355x
mi355x-66d9cdf788-2z2f7   1           mi355x
mi355x-66d9cdf788-2zbpn   1           mi355x
mi355x-66d9cdf788-2zsz7   1           mi355x
mi355x-66d9cdf788-46wpc   1           mi355x
mi355x-66d9cdf788-46xkg   1           mi355x
mi355x-66d9cdf788-48fqf   1           mi355x
mi355x-66d9cdf788-48m5r   1           mi355x
mi355x-66d9cdf788-498lx   1           mi355x
mi355x-66d9cdf788-49mmf   1           mi355x
mi355x-66d9cdf788-4bbcr   1           mi355x
mi355x-66d9cdf788-4d7h7   1           mi355x
mi355x-66d9cdf788-4dfck   1           mi355x
mi355x-66d9cdf788-4fwb4   1           mi355x
mi355x-66d9cdf788-4fz66   1           mi355x
mi355x-66d9cdf788-4gnpf   1           mi355x
mi355x-66d9cdf788-4hbrd   1           mi355x
mi355x-66d9cdf788-4hgc9   1           mi355x
mi355x-66d9cdf788-4hh6d   1           mi355x
mi355x-66d9cdf788-4hqqp   1           mi355x
mi355x-66d9cdf788-4j725   1           mi355x
mi355x-66d9cdf788-4jd9c   1           mi355x
mi355x-66d9cdf788-4jzhp   1           mi355x
mi355x-66d9cdf788-4k626   1           mi355x
mi355x-66d9cdf788-4mkt5   1           mi355x
mi355x-66d9cdf788-4mmrf   1           mi355x
mi355x-66d9cdf788-4n4j9   1           mi355x
mi355x-66d9cdf788-4nqtv   1           mi355x
mi355x-66d9cdf788-4ntdf   1           mi355x
mi355x-66d9cdf788-4q776   1           mi355x
mi355x-66d9cdf788-4s5j5   1           mi355x
mi355x-66d9cdf788-4s5wb   1           mi355x
mi355x-66d9cdf788-4szhq   1           mi355x
mi355x-66d9cdf788-4tdvr   1           mi355x
mi355x-66d9cdf788-4tk7s   1           mi355x
mi355x-66d9cdf788-4vmmx   1           mi355x
mi355x-66d9cdf788-4vpv7   1           mi355x
mi355x-66d9cdf788-4vw7q   1           mi355x
mi355x-66d9cdf788-4wd6g   1           mi355x
mi355x-66d9cdf788-4xwk8   1           mi355x
mi355x-66d9cdf788-4xxc5   1           mi355x
mi355x-66d9cdf788-4z45z   1           mi355x
mi355x-66d9cdf788-4zn58   1           mi355x
mi355x-66d9cdf788-522st   1           mi355x
mi355x-66d9cdf788-54p4n   1           mi355x
mi355x-66d9cdf788-55ffh   1           mi355x
mi355x-66d9cdf788-55jnc   1           mi355x
mi355x-66d9cdf788-56jjb   1           mi355x
mi355x-66d9cdf788-58hdl   1           mi355x
mi355x-66d9cdf788-58md2   1           mi355x
mi355x-66d9cdf788-58ps4   1           mi355x
mi355x-66d9cdf788-598vw   1           mi355x
mi355x-66d9cdf788-599wf   1           mi355x
mi355x-66d9cdf788-59g5f   1           mi355x
mi355x-66d9cdf788-59q2v   1           mi355x
mi355x-66d9cdf788-59vr6   1           mi355x
