NAME                    GPU_COUNT   GPU_TYPE
jaguarshores-node-1     10          jaguarshores
jaguarshores-node-10    10          jaguarshores
jaguarshores-node-100   10          jaguarshores
jaguarshores-node-11    10          jaguarshores
jaguarshores-node-12    10          jaguarshores
jaguarshores-node-13    10          jaguarshores
jaguarshores-node-14    10          jaguarshores
jaguarshores-node-15    10          jaguarshores
jaguarshores-node-16    10          jaguarshores
jaguarshores-node-17    10          jaguarshores
jaguarshores-node-18    10          jaguarshores
jaguarshores-node-19    10          jaguarshores
jaguarshores-node-2     10          jaguarshores
jaguarshores-node-20    10          jaguarshores
jaguarshores-node-21    10          jaguarshores
jaguarshores-node-22    10          jaguarshores
jaguarshores-node-23    10          jaguarshores
jaguarshores-node-24    10          jaguarshores
jaguarshores-node-25    10          jaguarshores
jaguarshores-node-26    10          jaguarshores
jaguarshores-node-27    10          jaguarshores
jaguarshores-node-28    10          jaguarshores
jaguarshores-node-29    10          jaguarshores
jaguarshores-node-3     10          jaguarshores
jaguarshores-node-30    10          jaguarshores
jaguarshores-node-31    10          jaguarshores
jaguarshores-node-32    10          jaguarshores
jaguarshores-node-33    10          jaguarshores
jaguarshores-node-34    10          jaguarshores
jaguarshores-node-35    10          jaguarshores
jaguarshores-node-36    10          jaguarshores
jaguarshores-node-37    10          jaguarshores
jaguarshores-node-38    10          jaguarshores
jaguarshores-node-39    10          jaguarshores
jaguarshores-node-4     10          jaguarshores
jaguarshores-node-40    10          jaguarshores
jaguarshores-node-41    10          jaguarshores
jaguarshores-node-42    10          jaguarshores
jaguarshores-node-43    10          jaguarshores
jaguarshores-node-44    10          jaguarshores
jaguarshores-node-45    10          jaguarshores
jaguarshores-node-46    10          jaguarshores
jaguarshores-node-47    10          jaguarshores
jaguarshores-node-48    10          jaguarshores
jaguarshores-node-49    10          jaguarshores
jaguarshores-node-5     10          jaguarshores
jaguarshores-node-50    10          jaguarshores
jaguarshores-node-51    10          jaguarshores
jaguarshores-node-52    10          jaguarshores
jaguarshores-node-53    10          jaguarshores
jaguarshores-node-54    10          jaguarshores
jaguarshores-node-55    10          jaguarshores
jaguarshores-node-56    10          jaguarshores
jaguarshores-node-57    10          jaguarshores
jaguarshores-node-58    10          jaguarshores
jaguarshores-node-59    10          jaguarshores
jaguarshores-node-6     10          jaguarshores
jaguarshores-node-60    10          jaguarshores
jaguarshores-node-61    10          jaguarshores
jaguarshores-node-62    10          jaguarshores
jaguarshores-node-63    10          jaguarshores
jaguarshores-node-64    10          jaguarshores
jaguarshores-node-65    10          jaguarshores
jaguarshores-node-66    10          jaguarshores
jaguarshores-node-67    10          jaguarshores
jaguarshores-node-68    10          jaguarshores
jaguarshores-node-69    10          jaguarshores
jaguarshores-node-7     10          jaguarshores
jaguarshores-node-70    10          jaguarshores
jaguarshores-node-71    10          jaguarshores
jaguarshores-node-72    10          jaguarshores
jaguarshores-node-73    10          jaguarshores
jaguarshores-node-74    10          jaguarshores
jaguarshores-node-75    10          jaguarshores
jaguarshores-node-76    10          jaguarshores
jaguarshores-node-77    10          jaguarshores
jaguarshores-node-78    10          jaguarshores
jaguarshores-node-79    10          jaguarshores
jaguarshores-node-8     10          jaguarshores
jaguarshores-node-80    10          jaguarshores
jaguarshores-node-81    10          jaguarshores
jaguarshores-node-82    10          jaguarshores
jaguarshores-node-83    10          jaguarshores
jaguarshores-node-84    10          jaguarshores
jaguarshores-node-85    10          jaguarshores
jaguarshores-node-86    10          jaguarshores
jaguarshores-node-87    10          jaguarshores
jaguarshores-node-88    10          jaguarshores
jaguarshores-node-89    10          jaguarshores
jaguarshores-node-9     10          jaguarshores
jaguarshores-node-90    10          jaguarshores
jaguarshores-node-91    10          jaguarshores
jaguarshores-node-92    10          jaguarshores
jaguarshores-node-93    10          jaguarshores
jaguarshores-node-94    10          jaguarshores
jaguarshores-node-95    10          jaguarshores
jaguarshores-node-96    10          jaguarshores
jaguarshores-node-97    10          jaguarshores
jaguarshores-node-98    10          jaguarshores
jaguarshores-node-99    10          jaguarshores
