NAME          GPU_COUNT   GPU_TYPE
l4-node-1     10          l4
l4-node-10    10          l4
l4-node-100   10          l4
l4-node-11    10          l4
l4-node-12    10          l4
l4-node-13    10          l4
l4-node-14    10          l4
l4-node-15    10          l4
l4-node-16    10          l4
l4-node-17    10          l4
l4-node-18    10          l4
l4-node-19    10          l4
l4-node-2     10          l4
l4-node-20    10          l4
l4-node-21    10          l4
l4-node-22    10          l4
l4-node-23    10          l4
l4-node-24    10          l4
l4-node-25    10          l4
l4-node-26    10          l4
l4-node-27    10          l4
l4-node-28    10          l4
l4-node-29    10          l4
l4-node-3     10          l4
l4-node-30    10          l4
l4-node-31    10          l4
l4-node-32    10          l4
l4-node-33    10          l4
l4-node-34    10          l4
l4-node-35    10          l4
l4-node-36    10          l4
l4-node-37    10          l4
l4-node-38    10          l4
l4-node-39    10          l4
l4-node-4     10          l4
l4-node-40    10          l4
l4-node-41    10          l4
l4-node-42    10          l4
l4-node-43    10          l4
l4-node-44    10          l4
l4-node-45    10          l4
l4-node-46    10          l4
l4-node-47    10          l4
l4-node-48    10          l4
l4-node-49    10          l4
l4-node-5     10          l4
l4-node-50    10          l4
l4-node-51    10          l4
l4-node-52    10          l4
l4-node-53    10          l4
l4-node-54    10          l4
l4-node-55    10          l4
l4-node-56    10          l4
l4-node-57    10          l4
l4-node-58    10          l4
l4-node-59    10          l4
l4-node-6     10          l4
l4-node-60    10          l4
l4-node-61    10          l4
l4-node-62    10          l4
l4-node-63    10          l4
l4-node-64    10          l4
l4-node-65    10          l4
l4-node-66    10          l4
l4-node-67    10          l4
l4-node-68    10          l4
l4-node-69    10          l4
l4-node-7     10          l4
l4-node-70    10          l4
l4-node-71    10          l4
l4-node-72    10          l4
l4-node-73    10          l4
l4-node-74    10          l4
l4-node-75    10          l4
l4-node-76    10          l4
l4-node-77    10          l4
l4-node-78    10          l4
l4-node-79    10          l4
l4-node-8     10          l4
l4-node-80    10          l4
l4-node-81    10          l4
l4-node-82    10          l4
l4-node-83    10          l4
l4-node-84    10          l4
l4-node-85    10          l4
l4-node-86    10          l4
l4-node-87    10          l4
l4-node-88    10          l4
l4-node-89    10          l4
l4-node-9     10          l4
l4-node-90    10          l4
l4-node-91    10          l4
l4-node-92    10          l4
l4-node-93    10          l4
l4-node-94    10          l4
l4-node-95    10          l4
l4-node-96    10          l4
l4-node-97    10          l4
l4-node-98    10          l4
l4-node-99    10          l4
