NAME              GPU_COUNT   GPU_TYPE
mi350x-node-1     10          mi350x
mi350x-node-10    10          mi350x
mi350x-node-100   10          mi350x
mi350x-node-11    10          mi350x
mi350x-node-12    10          mi350x
mi350x-node-13    10          mi350x
mi350x-node-14    10          mi350x
mi350x-node-15    10          mi350x
mi350x-node-16    10          mi350x
mi350x-node-17    10          mi350x
mi350x-node-18    10          mi350x
mi350x-node-19    10          mi350x
mi350x-node-2     10          mi350x
mi350x-node-20    10          mi350x
mi350x-node-21    10          mi350x
mi350x-node-22    10          mi350x
mi350x-node-23    10          mi350x
mi350x-node-24    10          mi350x
mi350x-node-25    10          mi350x
mi350x-node-26    10          mi350x
mi350x-node-27    10          mi350x
mi350x-node-28    10          mi350x
mi350x-node-29    10          mi350x
mi350x-node-3     10          mi350x
mi350x-node-30    10          mi350x
mi350x-node-31    10          mi350x
mi350x-node-32    10          mi350x
mi350x-node-33    10          mi350x
mi350x-node-34    10          mi350x
mi350x-node-35    10          mi350x
mi350x-node-36    10          mi350x
mi350x-node-37    10          mi350x
mi350x-node-38    10          mi350x
mi350x-node-39    10          mi350x
mi350x-node-4     10          mi350x
mi350x-node-40    10          mi350x
mi350x-node-41    10          mi350x
mi350x-node-42    10          mi350x
mi350x-node-43    10          mi350x
mi350x-node-44    10          mi350x
mi350x-node-45    10          mi350x
mi350x-node-46    10          mi350x
mi350x-node-47    10          mi350x
mi350x-node-48    10          mi350x
mi350x-node-49    10          mi350x
mi350x-node-5     10          mi350x
mi350x-node-50    10          mi350x
mi350x-node-51    10          mi350x
mi350x-node-52    10          mi350x
mi350x-node-53    10          mi350x
mi350x-node-54    10          mi350x
mi350x-node-55    10          mi350x
mi350x-node-56    10          mi350x
mi350x-node-57    10          mi350x
mi350x-node-58    10          mi350x
mi350x-node-59    10          mi350x
mi350x-node-6     10          mi350x
mi350x-node-60    10          mi350x
mi350x-node-61    10          mi350x
mi350x-node-62    10          mi350x
mi350x-node-63    10          mi350x
mi350x-node-64    10          mi350x
mi350x-node-65    10          mi350x
mi350x-node-66    10          mi350x
mi350x-node-67    10          mi350x
mi350x-node-68    10          mi350x
mi350x-node-69    10          mi350x
mi350x-node-7     10          mi350x
mi350x-node-70    10          mi350x
mi350x-node-71    10          mi350x
mi350x-node-72    10          mi350x
mi350x-node-73    10          mi350x
mi350x-node-74    10          mi350x
mi350x-node-75    10          mi350x
mi350x-node-76    10          mi350x
mi350x-node-77    10          mi350x
mi350x-node-78    10          mi350x
mi350x-node-79    10          mi350x
mi350x-node-8     10          mi350x
mi350x-node-80    10          mi350x
mi350x-node-81    10          mi350x
mi350x-node-82    10          mi350x
mi350x-node-83    10          mi350x
mi350x-node-84    10          mi350x
mi350x-node-85    10          mi350x
mi350x-node-86    10          mi350x
mi350x-node-87    10          mi350x
mi350x-node-88    10          mi350x
mi350x-node-89    10          mi350x
mi350x-node-9     10          mi350x
mi350x-node-90    10          mi350x
mi350x-node-91    10          mi350x
mi350x-node-92    10          mi350x
mi350x-node-93    10          mi350x
mi350x-node-94    10          mi350x
mi350x-node-95    10          mi350x
mi350x-node-96    10          mi350x
mi350x-node-97    10          mi350x
mi350x-node-98    10          mi350x
mi350x-node-99    10          mi350x
