NAME            GPU_COUNT   GPU_TYPE
b580-node-1     10          b580
b580-node-10    10          b580
b580-node-100   10          b580
b580-node-11    10          b580
b580-node-12    10          b580
b580-node-13    10          b580
b580-node-14    10          b580
b580-node-15    10          b580
b580-node-16    10          b580
b580-node-17    10          b580
b580-node-18    10          b580
b580-node-19    10          b580
b580-node-2     10          b580
b580-node-20    10          b580
b580-node-21    10          b580
b580-node-22    10          b580
b580-node-23    10          b580
b580-node-24    10          b580
b580-node-25    10          b580
b580-node-26    10          b580
b580-node-27    10          b580
b580-node-28    10          b580
b580-node-29    10          b580
b580-node-3     10          b580
b580-node-30    10          b580
b580-node-31    10          b580
b580-node-32    10          b580
b580-node-33    10          b580
b580-node-34    10          b580
b580-node-35    10          b580
b580-node-36    10          b580
b580-node-37    10          b580
b580-node-38    10          b580
b580-node-39    10          b580
b580-node-4     10          b580
b580-node-40    10          b580
b580-node-41    10          b580
b580-node-42    10          b580
b580-node-43    10          b580
b580-node-44    10          b580
b580-node-45    10          b580
b580-node-46    10          b580
b580-node-47    10          b580
b580-node-48    10          b580
b580-node-49    10          b580
b580-node-5     10          b580
b580-node-50    10          b580
b580-node-51    10          b580
b580-node-52    10          b580
b580-node-53    10          b580
b580-node-54    10          b580
b580-node-55    10          b580
b580-node-56    10          b580
b580-node-57    10          b580
b580-node-58    10          b580
b580-node-59    10          b580
b580-node-6     10          b580
b580-node-60    10          b580
b580-node-61    10          b580
b580-node-62    10          b580
b580-node-63    10          b580
b580-node-64    10          b580
b580-node-65    10          b580
b580-node-66    10          b580
b580-node-67    10          b580
b580-node-68    10          b580
b580-node-69    10          b580
b580-node-7     10          b580
b580-node-70    10          b580
b580-node-71    10          b580
b580-node-72    10          b580
b580-node-73    10          b580
b580-node-74    10          b580
b580-node-75    10          b580
b580-node-76    10          b580
b580-node-77    10          b580
b580-node-78    10          b580
b580-node-79    10          b580
b580-node-8     10          b580
b580-node-80    10          b580
b580-node-81    10          b580
b580-node-82    10          b580
b580-node-83    10          b580
b580-node-84    10          b580
b580-node-85    10          b580
b580-node-86    10          b580
b580-node-87    10          b580
b580-node-88    10          b580
b580-node-89    10          b580
b580-node-9     10          b580
b580-node-90    10          b580
b580-node-91    10          b580
b580-node-92    10          b580
b580-node-93    10          b580
b580-node-94    10          b580
b580-node-95    10          b580
b580-node-96    10          b580
b580-node-97    10          b580
b580-node-98    10          b580
b580-node-99    10          b580
