NAME                    GPU_COUNT   GPU_TYPE
falconshores-node-1     10          falconshores
falconshores-node-10    10          falconshores
falconshores-node-100   10          falconshores
falconshores-node-11    10          falconshores
falconshores-node-12    10          falconshores
falconshores-node-13    10          falconshores
falconshores-node-14    10          falconshores
falconshores-node-15    10          falconshores
falconshores-node-16    10          falconshores
falconshores-node-17    10          falconshores
falconshores-node-18    10          falconshores
falconshores-node-19    10          falconshores
falconshores-node-2     10          falconshores
falconshores-node-20    10          falconshores
falconshores-node-21    10          falconshores
falconshores-node-22    10          falconshores
falconshores-node-23    10          falconshores
falconshores-node-24    10          falconshores
falconshores-node-25    10          falconshores
falconshores-node-26    10          falconshores
falconshores-node-27    10          falconshores
falconshores-node-28    10          falconshores
falconshores-node-29    10          falconshores
falconshores-node-3     10          falconshores
falconshores-node-30    10          falconshores
falconshores-node-31    10          falconshores
falconshores-node-32    10          falconshores
falconshores-node-33    10          falconshores
falconshores-node-34    10          falconshores
falconshores-node-35    10          falconshores
falconshores-node-36    10          falconshores
falconshores-node-37    10          falconshores
falconshores-node-38    10          falconshores
falconshores-node-39    10          falconshores
falconshores-node-4     10          falconshores
falconshores-node-40    10          falconshores
falconshores-node-41    10          falconshores
falconshores-node-42    10          falconshores
falconshores-node-43    10          falconshores
falconshores-node-44    10          falconshores
falconshores-node-45    10          falconshores
falconshores-node-46    10          falconshores
falconshores-node-47    10          falconshores
falconshores-node-48    10          falconshores
falconshores-node-49    10          falconshores
falconshores-node-5     10          falconshores
falconshores-node-50    10          falconshores
falconshores-node-51    10          falconshores
falconshores-node-52    10          falconshores
falconshores-node-53    10          falconshores
falconshores-node-54    10          falconshores
falconshores-node-55    10          falconshores
falconshores-node-56    10          falconshores
falconshores-node-57    10          falconshores
falconshores-node-58    10          falconshores
falconshores-node-59    10          falconshores
falconshores-node-6     10          falconshores
falconshores-node-60    10          falconshores
falconshores-node-61    10          falconshores
falconshores-node-62    10          falconshores
falconshores-node-63    10          falconshores
falconshores-node-64    10          falconshores
falconshores-node-65    10          falconshores
falconshores-node-66    10          falconshores
falconshores-node-67    10          falconshores
falconshores-node-68    10          falconshores
falconshores-node-69    10          falconshores
falconshores-node-7     10          falconshores
falconshores-node-70    10          falconshores
falconshores-node-71    10          falconshores
falconshores-node-72    10          falconshores
falconshores-node-73    10          falconshores
falconshores-node-74    10          falconshores
falconshores-node-75    10          falconshores
falconshores-node-76    10          falconshores
falconshores-node-77    10          falconshores
falconshores-node-78    10          falconshores
falconshores-node-79    10          falconshores
falconshores-node-8     10          falconshores
falconshores-node-80    10          falconshores
falconshores-node-81    10          falconshores
falconshores-node-82    10          falconshores
falconshores-node-83    10          falconshores
falconshores-node-84    10          falconshores
falconshores-node-85    10          falconshores
falconshores-node-86    10          falconshores
falconshores-node-87    10          falconshores
falconshores-node-88    10          falconshores
falconshores-node-89    10          falconshores
falconshores-node-9     10          falconshores
falconshores-node-90    10          falconshores
falconshores-node-91    10          falconshores
falconshores-node-92    10          falconshores
falconshores-node-93    10          falconshores
falconshores-node-94    10          falconshores
falconshores-node-95    10          falconshores
falconshores-node-96    10          falconshores
falconshores-node-97    10          falconshores
falconshores-node-98    10          falconshores
falconshores-node-99    10          falconshores
