NAME            GPU_COUNT   GPU_TYPE
h200-node-1     10          h200
h200-node-10    10          h200
h200-node-100   10          h200
h200-node-11    10          h200
h200-node-12    10          h200
h200-node-13    10          h200
h200-node-14    10          h200
h200-node-15    10          h200
h200-node-16    10          h200
h200-node-17    10          h200
h200-node-18    10          h200
h200-node-19    10          h200
h200-node-2     10          h200
h200-node-20    10          h200
h200-node-21    10          h200
h200-node-22    10          h200
h200-node-23    10          h200
h200-node-24    10          h200
h200-node-25    10          h200
h200-node-26    10          h200
h200-node-27    10          h200
h200-node-28    10          h200
h200-node-29    10          h200
h200-node-3     10          h200
h200-node-30    10          h200
h200-node-31    10          h200
h200-node-32    10          h200
h200-node-33    10          h200
h200-node-34    10          h200
h200-node-35    10          h200
h200-node-36    10          h200
h200-node-37    10          h200
h200-node-38    10          h200
h200-node-39    10          h200
h200-node-4     10          h200
h200-node-40    10          h200
h200-node-41    10          h200
h200-node-42    10          h200
h200-node-43    10          h200
h200-node-44    10          h200
h200-node-45    10          h200
h200-node-46    10          h200
h200-node-47    10          h200
h200-node-48    10          h200
h200-node-49    10          h200
h200-node-5     10          h200
h200-node-50    10          h200
h200-node-51    10          h200
h200-node-52    10          h200
h200-node-53    10          h200
h200-node-54    10          h200
h200-node-55    10          h200
h200-node-56    10          h200
h200-node-57    10          h200
h200-node-58    10          h200
h200-node-59    10          h200
h200-node-6     10          h200
h200-node-60    10          h200
h200-node-61    10          h200
h200-node-62    10          h200
h200-node-63    10          h200
h200-node-64    10          h200
h200-node-65    10          h200
h200-node-66    10          h200
h200-node-67    10          h200
h200-node-68    10          h200
h200-node-69    10          h200
h200-node-7     10          h200
h200-node-70    10          h200
h200-node-71    10          h200
h200-node-72    10          h200
h200-node-73    10          h200
h200-node-74    10          h200
h200-node-75    10          h200
h200-node-76    10          h200
h200-node-77    10          h200
h200-node-78    10          h200
h200-node-79    10          h200
h200-node-8     10          h200
h200-node-80    10          h200
h200-node-81    10          h200
h200-node-82    10          h200
h200-node-83    10          h200
h200-node-84    10          h200
h200-node-85    10          h200
h200-node-86    10          h200
h200-node-87    10          h200
h200-node-88    10          h200
h200-node-89    10          h200
h200-node-9     10          h200
h200-node-90    10          h200
h200-node-91    10          h200
h200-node-92    10          h200
h200-node-93    10          h200
h200-node-94    10          h200
h200-node-95    10          h200
h200-node-96    10          h200
h200-node-97    10          h200
h200-node-98    10          h200
h200-node-99    10          h200
