NAME              GPU_COUNT   GPU_TYPE
mi300a-node-1     10          mi300a
mi300a-node-10    10          mi300a
mi300a-node-100   10          mi300a
mi300a-node-11    10          mi300a
mi300a-node-12    10          mi300a
mi300a-node-13    10          mi300a
mi300a-node-14    10          mi300a
mi300a-node-15    10          mi300a
mi300a-node-16    10          mi300a
mi300a-node-17    10          mi300a
mi300a-node-18    10          mi300a
mi300a-node-19    10          mi300a
mi300a-node-2     10          mi300a
mi300a-node-20    10          mi300a
mi300a-node-21    10          mi300a
mi300a-node-22    10          mi300a
mi300a-node-23    10          mi300a
mi300a-node-24    10          mi300a
mi300a-node-25    10          mi300a
mi300a-node-26    10          mi300a
mi300a-node-27    10          mi300a
mi300a-node-28    10          mi300a
mi300a-node-29    10          mi300a
mi300a-node-3     10          mi300a
mi300a-node-30    10          mi300a
mi300a-node-31    10          mi300a
mi300a-node-32    10          mi300a
mi300a-node-33    10          mi300a
mi300a-node-34    10          mi300a
mi300a-node-35    10          mi300a
mi300a-node-36    10          mi300a
mi300a-node-37    10          mi300a
mi300a-node-38    10          mi300a
mi300a-node-39    10          mi300a
mi300a-node-4     10          mi300a
mi300a-node-40    10          mi300a
mi300a-node-41    10          mi300a
mi300a-node-42    10          mi300a
mi300a-node-43    10          mi300a
mi300a-node-44    10          mi300a
mi300a-node-45    10          mi300a
mi300a-node-46    10          mi300a
mi300a-node-47    10          mi300a
mi300a-node-48    10          mi300a
mi300a-node-49    10          mi300a
mi300a-node-5     10          mi300a
mi300a-node-50    10          mi300a
mi300a-node-51    10          mi300a
mi300a-node-52    10          mi300a
mi300a-node-53    10          mi300a
mi300a-node-54    10          mi300a
mi300a-node-55    10          mi300a
mi300a-node-56    10          mi300a
mi300a-node-57    10          mi300a
mi300a-node-58    10          mi300a
mi300a-node-59    10          mi300a
mi300a-node-6     10          mi300a
mi300a-node-60    10          mi300a
mi300a-node-61    10          mi300a
mi300a-node-62    10          mi300a
mi300a-node-63    10          mi300a
mi300a-node-64    10          mi300a
mi300a-node-65    10          mi300a
mi300a-node-66    10          mi300a
mi300a-node-67    10          mi300a
mi300a-node-68    10          mi300a
mi300a-node-69    10          mi300a
mi300a-node-7     10          mi300a
mi300a-node-70    10          mi300a
mi300a-node-71    10          mi300a
mi300a-node-72    10          mi300a
mi300a-node-73    10          mi300a
mi300a-node-74    10          mi300a
mi300a-node-75    10          mi300a
mi300a-node-76    10          mi300a
mi300a-node-77    10          mi300a
mi300a-node-78    10          mi300a
mi300a-node-79    10          mi300a
mi300a-node-8     10          mi300a
mi300a-node-80    10          mi300a
mi300a-node-81    10          mi300a
mi300a-node-82    10          mi300a
mi300a-node-83    10          mi300a
mi300a-node-84    10          mi300a
mi300a-node-85    10          mi300a
mi300a-node-86    10          mi300a
mi300a-node-87    10          mi300a
mi300a-node-88    10          mi300a
mi300a-node-89    10          mi300a
mi300a-node-9     10          mi300a
mi300a-node-90    10          mi300a
mi300a-node-91    10          mi300a
mi300a-node-92    10          mi300a
mi300a-node-93    10          mi300a
mi300a-node-94    10          mi300a
mi300a-node-95    10          mi300a
mi300a-node-96    10          mi300a
mi300a-node-97    10          mi300a
mi300a-node-98    10          mi300a
mi300a-node-99    10          mi300a
