NAME          GPU_COUNT   GPU_TYPE
t4-node-1     10          t4
t4-node-10    10          t4
t4-node-100   10          t4
t4-node-11    10          t4
t4-node-12    10          t4
t4-node-13    10          t4
t4-node-14    10          t4
t4-node-15    10          t4
t4-node-16    10          t4
t4-node-17    10          t4
t4-node-18    10          t4
t4-node-19    10          t4
t4-node-2     10          t4
t4-node-20    10          t4
t4-node-21    10          t4
t4-node-22    10          t4
t4-node-23    10          t4
t4-node-24    10          t4
t4-node-25    10          t4
t4-node-26    10          t4
t4-node-27    10          t4
t4-node-28    10          t4
t4-node-29    10          t4
t4-node-3     10          t4
t4-node-30    10          t4
t4-node-31    10          t4
t4-node-32    10          t4
t4-node-33    10          t4
t4-node-34    10          t4
t4-node-35    10          t4
t4-node-36    10          t4
t4-node-37    10          t4
t4-node-38    10          t4
t4-node-39    10          t4
t4-node-4     10          t4
t4-node-40    10          t4
t4-node-41    10          t4
t4-node-42    10          t4
t4-node-43    10          t4
t4-node-44    10          t4
t4-node-45    10          t4
t4-node-46    10          t4
t4-node-47    10          t4
t4-node-48    10          t4
t4-node-49    10          t4
t4-node-5     10          t4
t4-node-50    10          t4
t4-node-51    10          t4
t4-node-52    10          t4
t4-node-53    10          t4
t4-node-54    10          t4
t4-node-55    10          t4
t4-node-56    10          t4
t4-node-57    10          t4
t4-node-58    10          t4
t4-node-59    10          t4
t4-node-6     10          t4
t4-node-60    10          t4
t4-node-61    10          t4
t4-node-62    10          t4
t4-node-63    10          t4
t4-node-64    10          t4
t4-node-65    10          t4
t4-node-66    10          t4
t4-node-67    10          t4
t4-node-68    10          t4
t4-node-69    10          t4
t4-node-7     10          t4
t4-node-70    10          t4
t4-node-71    10          t4
t4-node-72    10          t4
t4-node-73    10          t4
t4-node-74    10          t4
t4-node-75    10          t4
t4-node-76    10          t4
t4-node-77    10          t4
t4-node-78    10          t4
t4-node-79    10          t4
t4-node-8     10          t4
t4-node-80    10          t4
t4-node-81    10          t4
t4-node-82    10          t4
t4-node-83    10          t4
t4-node-84    10          t4
t4-node-85    10          t4
t4-node-86    10          t4
t4-node-87    10          t4
t4-node-88    10          t4
t4-node-89    10          t4
t4-node-9     10          t4
t4-node-90    10          t4
t4-node-91    10          t4
t4-node-92    10          t4
t4-node-93    10          t4
t4-node-94    10          t4
t4-node-95    10          t4
t4-node-96    10          t4
t4-node-97    10          t4
t4-node-98    10          t4
t4-node-99    10          t4
