NAME            GPU_COUNT   GPU_TYPE
v100-node-1     10          v100
v100-node-10    10          v100
v100-node-100   10          v100
v100-node-11    10          v100
v100-node-12    10          v100
v100-node-13    10          v100
v100-node-14    10          v100
v100-node-15    10          v100
v100-node-16    10          v100
v100-node-17    10          v100
v100-node-18    10          v100
v100-node-19    10          v100
v100-node-2     10          v100
v100-node-20    10          v100
v100-node-21    10          v100
v100-node-22    10          v100
v100-node-23    10          v100
v100-node-24    10          v100
v100-node-25    10          v100
v100-node-26    10          v100
v100-node-27    10          v100
v100-node-28    10          v100
v100-node-29    10          v100
v100-node-3     10          v100
v100-node-30    10          v100
v100-node-31    10          v100
v100-node-32    10          v100
v100-node-33    10          v100
v100-node-34    10          v100
v100-node-35    10          v100
v100-node-36    10          v100
v100-node-37    10          v100
v100-node-38    10          v100
v100-node-39    10          v100
v100-node-4     10          v100
v100-node-40    10          v100
v100-node-41    10          v100
v100-node-42    10          v100
v100-node-43    10          v100
v100-node-44    10          v100
v100-node-45    10          v100
v100-node-46    10          v100
v100-node-47    10          v100
v100-node-48    10          v100
v100-node-49    10          v100
v100-node-5     10          v100
v100-node-50    10          v100
v100-node-51    10          v100
v100-node-52    10          v100
v100-node-53    10          v100
v100-node-54    10          v100
v100-node-55    10          v100
v100-node-56    10          v100
v100-node-57    10          v100
v100-node-58    10          v100
v100-node-59    10          v100
v100-node-6     10          v100
v100-node-60    10          v100
v100-node-61    10          v100
v100-node-62    10          v100
v100-node-63    10          v100
v100-node-64    10          v100
v100-node-65    10          v100
v100-node-66    10          v100
v100-node-67    10          v100
v100-node-68    10          v100
v100-node-69    10          v100
v100-node-7     10          v100
v100-node-70    10          v100
v100-node-71    10          v100
v100-node-72    10          v100
v100-node-73    10          v100
v100-node-74    10          v100
v100-node-75    10          v100
v100-node-76    10          v100
v100-node-77    10          v100
v100-node-78    10          v100
v100-node-79    10          v100
v100-node-8     10          v100
v100-node-80    10          v100
v100-node-81    10          v100
v100-node-82    10          v100
v100-node-83    10          v100
v100-node-84    10          v100
v100-node-85    10          v100
v100-node-86    10          v100
v100-node-87    10          v100
v100-node-88    10          v100
v100-node-89    10          v100
v100-node-9     10          v100
v100-node-90    10          v100
v100-node-91    10          v100
v100-node-92    10          v100
v100-node-93    10          v100
v100-node-94    10          v100
v100-node-95    10          v100
v100-node-96    10          v100
v100-node-97    10          v100
v100-node-98    10          v100
v100-node-99    10          v100
